group,route_id,attempt,status,selected,completion,wall_s,ticks,profiled_ticks,profiled_loop_s,server_age_routes,source
carla-seed0,17569,1,finished,True,100,32.9,329,309,5.3985389999999995,8,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/17569/1/attempt.json
carla-seed0,2091,1,finished,True,100,87.9,3882,3862,57.049464,6,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/2091/1/attempt.json
carla-seed0,25378,1,finished,True,100,11.3,286,266,3.0451680000000003,4,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/25378/1/attempt.json
carla-seed0,25381,1,finished,True,100,15.4,390,370,5.79235,3,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/25381/1/attempt.json
carla-seed0,25424,1,finished,True,47.26,54.1,4000,3980,36.321479999999994,5,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/25424/1/attempt.json
carla-seed0,26405,1,finished,True,100,16.3,383,363,3.115992,2,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/26405/1/attempt.json
carla-seed0,27494,1,finished,True,100,14.7,471,451,5.028650000000001,7,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/27494/1/attempt.json
carla-seed0,28198,1,finished,True,100,14.6,252,232,2.023736,9,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/28198/1/attempt.json
carla-seed0,3255,1,finished,True,100,51.9,695,675,9.977175,1,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/3255/1/attempt.json
carla-seed0,3514,1,finished,True,100,47.7,679,659,13.439645999999998,0,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/3514/1/attempt.json
tcp-seed0,17569,1,finished,True,100,34.7,334,314,5.205178000000001,2,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/17569/1/attempt.json
tcp-seed0,2091,1,server_died_rc139,False,,19.0,,0,0.0,16,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/2091/1/attempt.json
tcp-seed0,2091,2,finished,True,100,28.0,288,268,3.630864,0,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/2091/2/attempt.json
tcp-seed0,25378,1,finished,True,100,12.3,288,268,3.153824,14,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/25378/1/attempt.json
tcp-seed0,25381,1,finished,True,100,15.3,393,373,5.756509,13,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/25381/1/attempt.json
tcp-seed0,25424,1,finished,True,47.26,53.7,4000,3980,36.241879999999995,15,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/25424/1/attempt.json
tcp-seed0,26405,1,finished,True,100,16.0,386,366,3.2156759999999998,12,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/26405/1/attempt.json
