board,rank,method,family,primary_metric,score,secondary,date,source,code,weights,license,inputs,hack_mechanisms,in_base204,newly_added,notes
carla_lb2,map-1,Kyber-E2E *,Kyber-E2E (Huawei Noah's Ark Canada),"DS (MAP track, official test)",12.455,RC 30.996; IS 0.47,not found (after 2024),"https://leaderboard.carla.org/leaderboard/ (data: https://leaderboard.carla.org/debug/lb2_map.json, Last-Modified 2026-08-31)",no,no,n/a,"1 front cam + 1 LiDAR + 1 radar + GNSS/IMU + OpenDRIVE map (per arXiv 2405.01394 §A, 2023 system)",not audited (no code),no,yes,"Official MAP #1, missed by the 2026-09-24 audit (which used SOTA2's 5.47 SENSORS / 3.47 MAP). Modular stack (learned perception + IRL planner), not end-to-end. The 2023 paper reports only 3.109 DS (Table II), so the 12.455 submission is undocumented; '*' appears on every entry without a method name, meaning not stated on the page."
carla_lb2,map-2,CarLLaVA (= SimLingo-BASE),SimLingo,"DS (MAP track, official test)",6.248,RC 18.894; IS 0.358,2024-06,"https://leaderboard.carla.org/leaderboard/ (data: https://leaderboard.carla.org/debug/lb2_map.json, Last-Modified 2026-08-31)",partial https://github.com/RenzKa/simlingo (SimLingo-BASE training modules; no CarLLaVA LB2 agent),no (HF RenzKa/simlingo holds only full SimLingo),Apache-2.0,camera only,not audited,yes (as SimLingo-BASE MAP 6.25),no,"CarLLaVA was renamed SimLingo-BASE (arXiv 2503.09594 Table 1: MAP 6.25, SENSORS 6.87). The 2026-09-24 sampling listed CarLLaVA 6.87 and SimLingo-BASE 6.25 as two methods: same system, two tracks."
carla_lb2,map-3,TF++,TransFuser-LEAD (autonomousvision/kesai-labs),"DS (MAP track, official test)",5.564,RC 11.815; IS 0.467,2024-06,"https://leaderboard.carla.org/leaderboard/ (data: https://leaderboard.carla.org/debug/lb2_map.json, Last-Modified 2026-08-31)",yes https://github.com/autonomousvision/carla_garage (leaderboard_2),"partial (re-trained weights, 'not the exact model weights used in the CVPR 2024 challenge')",MIT,1 cam + LiDAR,manual_control_override; metric_early_termination (audit LB2-TFPP-001/002/003),yes,no,arXiv 2412.09602.
carla_lb2,map-4,greatone *,unknown,"DS (MAP track, official test)",2.82,RC 6.496; IS 0.508,not found,"https://leaderboard.carla.org/leaderboard/ (data: https://leaderboard.carla.org/debug/lb2_map.json, Last-Modified 2026-08-31)",no,no,n/a,undisclosed,not audited,no,yes,SOTA2 shows 2.17 (older).
carla_lb2,map-5,aig *,unknown,"DS (MAP track, official test)",2.261,RC 4.545; IS 0.72,not found,"https://leaderboard.carla.org/leaderboard/ (data: https://leaderboard.carla.org/debug/lb2_map.json, Last-Modified 2026-08-31)",no,no,n/a,undisclosed,not audited,no,yes,
carla_lb2,map-6,xproject *,unknown,"DS (MAP track, official test)",1.998,RC 12.643; IS 0.31,not found,"https://leaderboard.carla.org/leaderboard/ (data: https://leaderboard.carla.org/debug/lb2_map.json, Last-Modified 2026-08-31)",no,no,n/a,undisclosed,not audited,no,yes,
carla_lb2,map-7,LRM * (CaRINA),"CaRINA (LRM, USP)","DS (MAP track, official test)",1.373,RC 15.271; IS 0.297,not found,"https://leaderboard.carla.org/leaderboard/ (data: https://leaderboard.carla.org/debug/lb2_map.json, Last-Modified 2026-08-31)",not found,no,n/a,undisclosed (SOTA2: L+C+M for CaRINA modular 1.14),not audited,no,yes,Kyber paper Table II lists LRM 1.14 (2023); the current entry is a later submission.
carla_lb2,map-8,tju-tianji *,unknown,"DS (MAP track, official test)",0.337,RC 0.692; IS 0.587,not found,"https://leaderboard.carla.org/leaderboard/ (data: https://leaderboard.carla.org/debug/lb2_map.json, Last-Modified 2026-08-31)",no,no,n/a,undisclosed,not audited,no,yes,Official MAP table has only 8 entries.
carla_lb2,sensors-1,CarLLaVA (= SimLingo-BASE),SimLingo,"DS (SENSORS track, official test)",6.865,RC 18.083; IS 0.423,2024-06,"https://leaderboard.carla.org/leaderboard/ (data: https://leaderboard.carla.org/debug/lb2_sensors.json, Last-Modified 2026-08-31)",partial https://github.com/RenzKa/simlingo,no,Apache-2.0,camera only,not audited,yes (as SimLingo-BASE SENSORS 6.87),no,Official SENSORS #1; arXiv 2406.14556 / 2503.09594 Table 1.
carla_lb2,sensors-2,TF++,TransFuser-LEAD (autonomousvision/kesai-labs),"DS (SENSORS track, official test)",5.183,RC 11.336; IS 0.479,2024-06,"https://leaderboard.carla.org/leaderboard/ (data: https://leaderboard.carla.org/debug/lb2_sensors.json, Last-Modified 2026-08-31)",yes https://github.com/autonomousvision/carla_garage (leaderboard_2),partial (re-trained weights),MIT,1 cam + LiDAR,manual_control_override; metric_early_termination (audit LB2-TFPP-001/002/003),yes,no,
carla_lb2,sensors-3,CaRINA hybrid 2023 (CNN planner),"CaRINA (LRM, USP)","DS (SENSORS track, official test)",1.232,RC 9.555; IS 0.311,2023,"https://leaderboard.carla.org/leaderboard/ (data: https://leaderboard.carla.org/debug/lb2_sensors.json, Last-Modified 2026-08-31)",not found,no,n/a,camera + LiDAR (SOTA2),not audited,no,yes,
carla_lb2,sensors-4,CARLA_Leaderboard (organiser baseline),CARLA organisers,"DS (SENSORS track, official test)",0.25,RC 15.2; IS 0.103,not found,"https://leaderboard.carla.org/leaderboard/ (data: https://leaderboard.carla.org/debug/lb2_sensors.json, Last-Modified 2026-08-31)",not found,n/a,n/a,SOTA2 labels privileged; not verified,not audited,no,yes,"Baseline, not a research method."
carla_lb2,sensors-5,GBT-AI-TEAM *,unknown,"DS (SENSORS track, official test)",0.116,RC 2.002; IS 0.181,not found,"https://leaderboard.carla.org/leaderboard/ (data: https://leaderboard.carla.org/debug/lb2_sensors.json, Last-Modified 2026-08-31)",no,no,n/a,undisclosed,not audited,no,yes,
