board,rank,method,family,primary_metric,score,secondary,date,source,code,weights,license,inputs,hack_mechanisms,in_base204,newly_added,notes
longest6,1,"TFv6 (RegNetY-032, 140C+L+R)",TransFuser-LEAD (autonomousvision/kesai-labs),DS,62,RC 91,2025-12,arXiv 2512.20563 Table 5,yes https://github.com/kesai-labs/lead (cvpr2026),yes https://huggingface.co/ln2697/tfv6 (tfv6_regnety032),MIT,140deg cameras + LiDAR + radar,"not audited on this board; same agent as B2D audit (control_interface_selection; manual_control_override, B2D-TFV6-001..003)",yes,no,"Longest6 v2 = 36 routes x 1-2 km, Towns 1-6, CARLA 0.9.15. Other TFv6 rows (Table 5): R34 140C+L+R 57/99, 360C+L+R 54/89, 360C+L 52/88, 360C+R 52/88, 360C 43/85. LEAD main docs/speed.md: 54.3±4.4 (v1.4.0 dataset)."
longest6,2,RoG-DAgger,SimLingo,DS,44,RC 88,2026-08,arXiv 2608.24525 Table 1,no,no,not found,1 front cam 110deg,not audited (no code),yes,no,SimLingo post-training; doubles SimLingo 22.
longest6,3,CLEAR (InternVL3-1B),CLEAR (Qualcomm AI Research),DS,39.89,RC 47.24; SR 25.00,2026-07,arXiv 2607.02841 Table 1,no (no code statement),no,not found,1 cam (N=1) + speed + GPS route,not audited (no code),no,yes,"VLA + closed-loop PPO residual RL. Their own SimLingo re-run gives 13.11 DS / 19.55 RC vs 22/70 in TFv6/BLUE/RoG tables, so the eval setup is not identical; compare with care. InternVL2-1B variant 37.44/41.91."
longest6,4,BLUE,SimLingo,DS,36,RC 84,2026-06,arXiv 2606.08684v2 Table 3,yes https://github.com/George-Ling3/BLUE,yes https://huggingface.co/George-Ling/blue_gate (+ RenzKa/simlingo backbone),Apache-2.0,1 front cam,"manual_control_override (audit B2D-BLUE-001, same agent); bundled Bench2Drive evaluator has the 4000-tick cap disabled; which runner was used for Longest6 is not stated",no,yes,Eval time 56 GPU-h vs 119 h for SimLingo.
longest6,5,TFv5 / TF++ (LB2),TransFuser-LEAD (autonomousvision/kesai-labs),DS,23,RC 70,2024-12,arXiv 2512.20563 Table 5 (TFv5 110C+L); same 23/70 as 'TF++' in arXiv 2608.24525 Table 1,yes https://github.com/autonomousvision/carla_garage (leaderboard_2),"partial (re-trained TF++ weights in carla_garage, not the exact paper checkpoint)",MIT,110deg cam + LiDAR,"manual_control_override; metric_early_termination (audit LB2-TFPP-001..003, carla_garage)",yes,no,TFv5 in LEAD paper and TF++ in RoG-DAgger report identical 23/70; treated as one entry.
longest6,6,SimLingo,SimLingo,DS,22,RC 70,2025-03,"arXiv 2512.20563 Table 5; also arXiv 2606.08684 Table 3, 2608.24525 Table 1",yes https://github.com/RenzKa/simlingo,yes https://huggingface.co/RenzKa/simlingo,Apache-2.0,1 front cam,"manual_control_override (documented in code, not formally audited: team_code/agent_simlingo.py creep after 800 frames, throttle 0.4)",yes,no,CLEAR's own run: 13.11.
longest6,7,HiP-AD,HiP-AD,DS,7,RC 56,2025-03,arXiv 2512.20563 Table 5,not checked,not checked,not checked,6 cam,not audited,yes,no,Only 7 distinct learned sensor-based methods with Longest6 v2 numbers were found; ranks 8-10 left empty rather than padded.
longest6,ref,PlanT 2.0,PlanT (autonomousvision),DS,74.7,RC 98.8,2025-11,arXiv 2511.07292 Table 3,yes https://github.com/autonomousvision/plant2,yes (per paper),not checked,privileged object-level + BEV road,not audited,no,yes,Learned on privileged input; higher than PDM-Lite expert.
longest6,ref,PDM-Lite,TransFuser-LEAD (autonomousvision/kesai-labs),DS,73,RC 100,2024-12,arXiv 2512.20563 Table 5; arXiv 2504.17838 Table 5,yes https://github.com/autonomousvision/carla_garage,n/a,MIT,privileged,not audited,yes,no,Rule-based expert.
longest6,ref,LEAD expert,TransFuser-LEAD (autonomousvision/kesai-labs),DS,73,RC 93,2025-12,arXiv 2512.20563 Table 5,yes https://github.com/kesai-labs/lead,n/a,MIT,privileged,not audited,yes,no,Rule-based expert.
longest6,ref,CaRL,CaRL (autonomousvision),DS,64,RC 82,2025-04,arXiv 2504.17838 Table 5 (64±2 / 82±1),yes https://github.com/autonomousvision/CaRL,yes (also https://huggingface.co/ln2697/tfv6 CaRL/model_best.pth),not checked,privileged BEV semantic,not audited,no,yes,RL on privileged BEV.
longest6,ref,PlanT,PlanT (autonomousvision),DS,62,RC 96,2022-10,arXiv 2504.17838 Table 5 (62±2 / 96±2),yes https://github.com/autonomousvision/plant,not checked,not checked,privileged object-level,not audited,no,yes,Privileged IL.
longest6,ref,RoG-Expert,SimLingo,DS,55,RC 100,2026-08,arXiv 2608.24525 Table 1,no,no,not found,privileged,not audited,no,yes,Privileged.
longest6,ref,Roach,Roach,DS,22,RC 77,2021-08,arXiv 2504.17838 Table 5 (22±14 / 77±19),not checked,not checked,not checked,privileged BEV,not audited,no,yes,Privileged RL.
longest6,ref,Think2Drive,Think2Drive (Thinklab),DS,7,RC 39,2024-02,arXiv 2504.17838 Table 5 (7±1 / 39±19),not checked,not checked,not checked,privileged,not audited,no,yes,Privileged RL.
