board,rank,method,family,primary_metric,score,secondary,date,source,code,weights,license,inputs,hack_mechanisms,in_base204,newly_added,notes
hugsim,1,DriveZero-Scale,DrivoR lineage (architecture) / Xiaomi DriveZero,HD-Score (%),46.6,"RC 54.5; HDS E/M/H/X 81.9/60.5/24.7/27.6; protocol P345 = DrivoR's 'pre-challenge HUGSIM test set, 345 scenarios', tier table E/M/H/X + Avg (baselines UniAD 32.7/LTF 23.7/VAD 13.4)",2026-09,arXiv 2609.06055 Table 6,partial: https://github.com/XiaomiAutoL3/DriveZero (only DriveRL teacher inference code released 2026-09-15; DriveZero student/HUGSIM eval code not released),no (only DriveRL nuPlan teacher checkpoints; no HUGSIM/NAVSIM student checkpoint found on GitHub or HF),none stated in repo (no LICENSE file),cameras rendered by HUGSIM 3DGS + ego state/nav command; zero-shot (no HUGSIM finetune); not privileged; trained on navtrain + 237K SimScale scenes with DriveRL teacher trajectories (no human trajectories),not audited; proposal-scoring branch trained against PDM targets and ranks 64 proposals at inference (paper Sec.2/3.2) = metric_proxy_candidate_selection-like,no,yes,"Candidate #1. Planner follows DrivoR (16 register tokens/camera, proposal decoder) -> DrivoR lineage by architecture, different authors (Xiaomi). Protocol inferred P345 because Table 6 baseline rows are identical to DrivoR Table 2. Not directly comparable with WA-JEPA's 436-scenario number."
hugsim,2,WA-JEPA,WA-JEPA (AFARI-Research),HD-Score (%),44.62,"0.4462 on [0,1]; RC 0.5689; E/M/H/X 0.7977/0.5563/0.3060/0.1362; dataset-uniform 0.4483, scenario-uniform 0.4464 (Table 5); protocol P436w = WA-JEPA 436 scenarios, dataset-uniform within tier then tier-count-weighted 80/157/96/103, [0,1] scale",2026-08,arXiv 2608.20974 Table 2 (v2),yes: https://github.com/AFARI-Research/WA-JEPA (HUGSIM closed-loop eval included),yes: https://huggingface.co/AFARI-Research/WA-JEPA (model_state_dict.pt; README says same checkpoint used for NAVSIM and HUGSIM),Apache-2.0,cameras rendered by HUGSIM 3DGS + ego state/nav command; zero-shot (no HUGSIM finetune); not privileged; pretrain on nuPlan video,"audited: simulator_protocol_dependency (HUG-WA-001, fixes HUGSIM arctan2 heading in its entry), inference_failure_brake_fallback (HUG-WA-002)",yes,no,#1 within the 436-scenario protocols. Repo README badge claims 'HUGSIM TOP 1'. Baselines re-evaluated by WA-JEPA under the patched controller.
hugsim,3,DriveZero,DrivoR lineage (architecture) / Xiaomi DriveZero,HD-Score (%),39.4,"RC 53.9; HDS E/M/H/X 78.5/47.2/16.0/28.7; protocol P345 = DrivoR's 'pre-challenge HUGSIM test set, 345 scenarios', tier table E/M/H/X + Avg (baselines UniAD 32.7/LTF 23.7/VAD 13.4)",2026-09,arXiv 2609.06055 Table 6,partial: https://github.com/XiaomiAutoL3/DriveZero (DriveRL only),no,none stated (no LICENSE file),"cameras rendered by HUGSIM 3DGS + ego state/nav command; zero-shot (no HUGSIM finetune); not privileged; navtrain only, DriveRL teacher trajectories",not audited; PDM-target proposal scorer = metric_proxy_candidate_selection-like,no,yes,Same paper as #1 without SimScale data.
hugsim,4,Gigapixel-DrivoR,DrivoR lineage (architecture) / Mila-Emerge self-play (Rowe et al.),HD-Score (%),38.5,"RC 50.1; HDS E/M/H/X 67.4/51.9/19.1/21.6; protocol P345 = DrivoR's 'pre-challenge HUGSIM test set, 345 scenarios', tier table E/M/H/X + Avg (baselines UniAD 32.7/LTF 23.7/VAD 13.4)",2026-06,arXiv 2606.19641 Table 1 (v2),not found (no code link in paper; no repo found on GitHub search),no (not found),not found,cameras rendered by HUGSIM 3DGS + ego state/nav command; zero-shot (no HUGSIM finetune); not privileged; self-play teacher (vector state) distilled into pixel student via self-play DAgger; no human trajectories,"not audited; scoring-based multimodal DrivoR head (PDM-subscore selection, as DrivoR) = metric_proxy_candidate_selection-like",no,yes,'Scaling Self-Play for End-to-End Driving'. Uses DrivoR planner heads (Reg and scoring variants); regression variant Gigapixel-DrivoR-Reg = 33.2.
hugsim,5,DrivoR (w/ SimScale) a.k.a. DrivoR-Scale,DrivoR (valeoai),HD-Score (%),38.1,"RC 46.4; HDS E/M/H/X 64.8/50.3/16.8/25.8; protocol P345 = DrivoR's 'pre-challenge HUGSIM test set, 345 scenarios', tier table E/M/H/X + Avg (baselines UniAD 32.7/LTF 23.7/VAD 13.4)",2026-06,arXiv 2606.19641 Table 1 and arXiv 2609.06055 Table 6 (identical numbers; original evaluation source not located),yes: https://github.com/valeoai/DrivoR (no HUGSIM adapter in public repo per our previous audit),yes: https://github.com/valeoai/DrivoR/releases/tag/Scaling (nav1_30epochs_with_*_simscale_*.pth; which one was used on HUGSIM not stated),Apache-2.0,cameras rendered by HUGSIM 3DGS + ego state/nav command; zero-shot (no HUGSIM finetune); not privileged; NAVSIM-v1 model + SimScale data,"HUGSIM path not audited; learned scorer ranks proposals trained on PDM sub-score targets = metric_proxy_candidate_selection-like (DrivoR audited on navsim_v1/v2: metric_proxy_candidate_selection yes, benchmark_target_shaping yes, manual_scorer_reweighting yes on v2)",no,yes,"Number reported by third-party papers, not in DrivoR paper v1."
hugsim,6,DrivoR,DrivoR (valeoai),HD-Score (%),35.7,"RC 49.8; HDS E/M/H/X 73.3/34.6/18.8/32.5; protocol P345 = DrivoR's 'pre-challenge HUGSIM test set, 345 scenarios', tier table E/M/H/X + Avg (baselines UniAD 32.7/LTF 23.7/VAD 13.4); under P436w (WA-JEPA re-eval) 0.3252; nuScenes-only 36.4 (arXiv 2608.31029 Table 5)",2026-01,arXiv 2601.05083 Table 2 (self-reported); re-eval arXiv 2608.20974 Table 2,yes: https://github.com/valeoai/DrivoR (HUGSIM eval code not in public commit),yes: https://github.com/valeoai/DrivoR/releases/tag/model_weights (drivor_Nav1_25epochs.pth = NAVSIM-v1 model used zero-shot),Apache-2.0,cameras rendered by HUGSIM 3DGS + ego state/nav command; zero-shot (no HUGSIM finetune); not privileged,"HUGSIM path not audited; learned scorer ranks proposals trained on PDM sub-score targets = metric_proxy_candidate_selection-like (DrivoR audited on navsim_v1/v2: metric_proxy_candidate_selection yes, benchmark_target_shaping yes, manual_scorer_reweighting yes on v2)",yes (0.3252 P436w row; 35.7 self-report not in base),no,"DrivoR paper notes anomalies in official HUGSIM code (comfort accel bounds, heading computation)."
hugsim,7,ZTRS,"GTRS/Hydra-MDP (NVIDIA + Fudan, Zhenxin Li)",HD-Score (%),32.9,RC 42.0; HDS E/M/H/X 66.9/37.9/21.1/9.8; protocol P436z = ZTRS/Latent-WAM/MM-Future tier table (baselines UniAD 28.9/LTF 24.8/VAD 12.3); MM-Future states 436 scenarios,2025-10 (v2 2026-07),arXiv 2510.24108v2 Table 2,yes: https://github.com/woxihuanjiangguo/ZTRS,"partial: https://huggingface.co/Zzxxxxxxxx/ZTRS/blob/main/ztrs_vov.ckpt (NAVSIM-v2 checkpoint, EPDMS 45.5; HUGSIM uses zero-shot transfer, identity with HUGSIM run not stated)",Apache-2.0,cameras rendered by HUGSIM 3DGS + ego state/nav command; zero-shot (no HUGSIM finetune); not privileged,not audited; trajectory vocabulary scorer trained with rule-based EPDMS rewards (EPO) and argmax selection = metric_reward_finetuning-like + metric_proxy_candidate_selection-like + offline_candidate_library-like,no,yes,INCONSISTENT: body text says 'overall 42.6 RC and 28.9 HD-Score' while Table 2 says 42.0 / 32.9. Table value used; flag. GTRS-Dense baseline in same table 28.2 (Latent-WAM Table 2 gives 28.6).
hugsim,8,UniAD,UniAD/VAD (OpenDriveLab + hustvl lineage),HD-Score (%),32.7,"RC 45.9; protocol P345 = DrivoR's 'pre-challenge HUGSIM test set, 345 scenarios', tier table E/M/H/X + Avg (baselines UniAD 32.7/LTF 23.7/VAD 13.4); P436w 0.3124 (arXiv 2608.20974 T2); P436z 28.9 (arXiv 2603.24581 T2 / 2510.24108 T2); HUGSIM paper gives only per-dataset/tier (arXiv 2412.01718 Table 13)",2023-06 (method); HUGSIM baseline 2024-12,"arXiv 2601.05083 Table 2 (also 2609.06055 T6, 2606.19641 T1)",yes: https://github.com/hyzhou404/UniAD_SIM,partial: nuScenes UniAD checkpoint via https://github.com/OpenDriveLab/UniAD (UniAD_SIM uses it; not HUGSIM-specific),Apache-2.0,"cameras rendered by HUGSIM 3DGS + ego state/nav command; zero-shot (no HUGSIM finetune); not privileged; trained on nuScenes, which overlaps HUGSIM nuScenes scenes (ZTRS Table 2 caption)",audited (hyzhou404/UniAD_SIM on hugsim): no category present,yes,no,Score spread 28.9-32.7 across protocols.
hugsim,9,MM-Future,MM-Future (NIO),HD-Score (%),32.3,RC 44.5; HDS E/M/H/X 53.8/40.0/27.3/8.6; protocol P436z = ZTRS/Latent-WAM/MM-Future tier table (baselines UniAD 28.9/LTF 24.8/VAD 12.3); MM-Future states 436 scenarios,2026-09,arXiv 2609.20377 Table 4,no (no code link in paper; no repo found),no (not found on HF),not found,cameras rendered by HUGSIM 3DGS + ego state/nav command; zero-shot (no HUGSIM finetune); not privileged; NAVSIM-v1 model,not audited; future-conditioned scorer predicts PDMS-level logits to rank proposals = metric_proxy_candidate_selection-like,no,yes,
hugsim,10,Latent-WAM,Latent-WAM (CASIA + Chang'an),HD-Score (%),28.9,RC 45.9; HDS E/M/H/X 72.5/24.0/12.2/18.1; protocol P436z = ZTRS/Latent-WAM/MM-Future tier table (baselines UniAD 28.9/LTF 24.8/VAD 12.3); MM-Future states 436 scenarios,2026-03,arXiv 2603.24581 Table 2,"partial: https://github.com/yukki555/Latent-WAM (Apache-2.0, code-only; official status unverified)",no (README: checkpoint not released yet),Apache-2.0 (repo above),cameras rendered by HUGSIM 3DGS + ego state/nav command; zero-shot (no HUGSIM finetune); not privileged; NAVSIM-v2 model,not audited,no,yes,Ties UniAD 28.9 under its own protocol.
