board,rank,method,family,primary_metric,score,secondary,date,source,code,weights,license,inputs,hack_mechanisms,in_base204,newly_added,notes
interplan,1,RAD-LAD (hybrid: RAD rule-based proposals/scoring + LAD language-action refinement),RAD-LAD (CMU ILIM + NEC Labs; RAD extends PDM-Closed),"interPlan score (official interplan10 split, 80 scenarios; mean of 8 per-type reactive CLS, 0-100)",74,Test14-hard R 81.36 (same table),2026-03,arXiv 2603.28522v2 Table 1 (self-reported),no - project page https://www.cs.cmu.edu/~ILIM/rad-lad/ says code 'Coming Soon',no (not released as of 2026-09-26),not found (code unreleased),GT tracked objects + HD map/route from nuPlan (privileged perception; no sensors); LAD = Qwen3-0.6B multimodal LM over vectorized scene pseudo-tokens,"not audited; rule-based proposal generation + rule scoring (PDM-Closed-derived) with LLM-in-the-loop refinement; 'context-aware rule relaxation' tuned via ablations on interPlan-generated subsets (paper App. C, 'non-overlapping' subsets) ~ benchmark-aware tuning risk",no,yes,"TRUE #1 on official split as of 2026-09-26 among entries found. Self-reported, integer precision, no independent re-evaluation found; not listed in TerraZero's later (2026-07) comparison table. Authors: Ghosh, Narasimhan, Chandraker, Pittaluga. Family separate from PDM lineage by authorship but RAD code base extends PDM-Closed."
interplan,2,RAD (rule-based),RAD-LAD (CMU ILIM + NEC Labs; RAD extends PDM-Closed),"interPlan score (official interplan10 split, 80 scenarios; mean of 8 per-type reactive CLS, 0-100)",72,Test14-hard R 80.53,2026-03,arXiv 2603.28522v2 Table 1 (self-reported),no - code 'Coming Soon' (https://www.cs.cmu.edu/~ILIM/rad-lad/),"n/a (rule-based, no learned weights)",not found,"GT tracked objects + HD map/route from nuPlan (privileged perception; no sensors); purely rule-based, no learning","not audited; rule-based planner: PDM-Closed + dynamic topology replanning, lane-change proposals, goal-directed optimization, rule relaxation; relaxation/goal-opt tuned with interPlan-subset ablations (App. C Table 5)",no,yes,Same family as #1 (RAD is RAD-LAD's rule component). Self-reported only.
interplan,3,"TerraZero (RL self-play, zero demonstrations)",TerraZero (Applied Intuition; PufferDrive/GigaFlow-style self-play lineage),"interPlan score (official interplan10 split, 80 scenarios; mean of 8 per-type reactive CLS, 0-100)",70.87,Full-scale interPlan (335) 71.31; Val14 R 94.19,2026-07,arXiv 2607.13028v2 Table 3 (self-reported),no - https://github.com/terra-applied/TerraZero is project-page assets only (no training/eval code),no,not found (project page repo has no license),"GT tracked objects + HD map/route from nuPlan (privileged perception; no sensors); object-level MLP policy, no fallback planner at inference","not audited; no rule-based post-processing (paper states no fallback planner); note training scenario generator procedurally spawns cones, crashed-vehicle clusters, jaywalkers (same families interPlan probes) ~ benchmark-aware training distribution",no,yes,Best fully learned entry. Evaluated with official nuPlan reactive score and standard LQR per paper. Its Table 3 omits RAD-LAD (74). Self-reported only.
interplan,4,SAH-Drive,SAH-Drive (Beihang / U. Macau; builds on Diffusion-ES + PDM-Closed + tuplan_garage),"interPlan score (official interplan10 split, 80 scenarios; mean of 8 per-type reactive CLS, 0-100)",64,Val14 R 90 / Test14-hard R 83 (Table 2),2025-05,arXiv 2505.24390 Table 1 (self-reported; ICML 2025),yes - https://github.com/richie-live/SAH-Drive,yes - checkpoints committed in repo: SAH_Diffusion_Model/best_model/epoch=9-step=9199.ckpt,MIT,GT tracked objects + HD map/route from nuPlan (privileged perception; no sensors); learned diffusion proposal model + rule-based PDM-Closed,not audited; rule-based post-processing: PDM-style scorer + dual-timescale decision neuron selects among rule/diffusion candidates ~ metric_proxy_candidate_selection-like,no,yes,"Diffusion model trained on nuPlan mini (Table: mini 65, larger data lower). ICML 2025. Integer precision."
interplan,5,"SPDM (spline-fitting PDM, Np=60 proposals)",PDM lineage (autonomousvision Tuebingen + Bosch: PDM/tuPlan garage/interPlan/SPDM/BehaviorBench),"interPlan score (official interplan10 split, 80 scenarios; mean of 8 per-type reactive CLS, 0-100)",63.66,Val14 R 91.60 at Np=60; Np=15 gives interPlan 42.00 / Val14 R 92.28,2025-10,arXiv 2510.15505 Table III (self-reported),no - no repo linked in paper; none found on GitHub,n/a (rule-based),not found,GT tracked objects + HD map/route from nuPlan (privileged perception; no sensors); rule-based,not audited; rule-based; PDM scorer selects among proposals ~ metric_proxy_candidate_selection-like; Np chosen by sweeping on interPlan itself (test-set selection),no,yes,"Distelzweig, Janjos et al. (Bosch). Lineage: extends PDM-Closed; same Bosch group as BehaviorBench (PDM+PPO); interPlan authors (Hallgarten) also Bosch/Tuebingen -> grouped into PDM lineage family."
interplan,6,"Diffusion-ES* (PDM proposals as initial set, Np=15)","Diffusion-ES (CMU, Yang/Fragkiadaki)","interPlan score (official interplan10 split, 80 scenarios; mean of 8 per-type reactive CLS, 0-100)",57.41,SAH-Drive re-eval of Diffusion-ES: 57 (arXiv 2505.24390 Table 1); variant without PDM proposals: 35.18,2025-10,"arXiv 2510.15505 Table II (re-evaluation by Distelzweig et al., not by Diffusion-ES authors)",yes - https://github.com/bhyang/diffusion-es,no (README says point script to your own checkpoint; no released ckpt found),not found (no root LICENSE; bundled nuplan-devkit has its own),GT tracked objects + HD map/route from nuPlan (privileged perception; no sensors); diffusion + evolutionary search,not audited; rule-based post-processing: nuPlan/PDM-style scorer used as evolutionary-search fitness + PDM proposal initialisation ~ metric_proxy_candidate_selection-like,no,yes,"Original Diffusion-ES paper (arXiv 2402.06559, CVPR 2024) does not report interPlan; both numbers are third-party re-evaluations and agree (57.41 vs 57). ~5 s/plan per SAH-Drive."
interplan,7,BIRDriver (PLUTO base planner + Qwen2.5VL-3B key points),PLUTO lineage (jchengai PLUTO/PlanTF codebase; BIRDriver by Tsinghua/Huawei fine-tunes PLUTO),"interPlan score (official interplan10 split, 80 scenarios; mean of 8 per-type reactive CLS, 0-100)",55.29,Test14-hard R 80.33,2026-04,ICLR 2026 proceedings (https://proceedings.iclr.cc/paper_files/paper/2026/file/acb18f946cde3cc29864e6df7df54d11-Paper-Conference.pdf) Table 1 (self-reported),no - no repo found,no,not found,"BEV raster rendered from GT objects+map fed to VLM, plus PLUTO vector GT inputs (privileged perception); VLM-in-the-loop",not audited; VLM-in-the-loop key-point guidance; base PLUTO planner (PLUTO default includes rule-based post-processing/scoring) ~ possible metric_proxy_candidate_selection-like,no,yes,"Split not stated explicitly; their own PDM-Closed re-run gives 43.51 (official 42), so treated as official 80-scenario split, with caution. Assigned to PLUTO family because it reuses PLUTO codebase/checkpoint pipeline."
interplan,8,Mosaic (arbitration graph composing PDM-Closed + FlowDrive*),"KIT-MRT (FlowDrive/Mosaic, Stiller group)","interPlan score (official interplan10 split, 80 scenarios; mean of 8 per-type reactive CLS, 0-100)",54.1,Val14 NR 95.56 / R 94.18,2026-04,arXiv 2604.13853 Table (Val14+interPlan) and https://github.com/KIT-MRT/mosaic README (self-reported),"yes - https://github.com/KIT-MRT/mosaic (releases v0.1.0, v0.2.0)",partial - no own weights; uses FlowDrive checkpoint https://github.com/einsteinguang/flow_drive_planner/blob/main/flow_drive/checkpoint/flow_drive_model.pth,MIT,GT tracked objects + HD map/route from nuPlan (privileged perception; no sensors); learned FlowDrive + rule-based PDM-Closed,not audited; rule-based verifier + scorer selects among PDM-Closed and FlowDrive* candidates ~ metric_proxy_candidate_selection-like,no,yes,Uses personal forks of nuplan-devkit/tuplan_garage/interPlan (README says path fixes). Same group as FlowDrive* (44.05).
interplan,9,HybridLLMPlanner (Llama-7B behavior planner + PDM-Closed),PDM lineage (autonomousvision Tuebingen + Bosch: PDM/tuPlan garage/interPlan/SPDM/BehaviorBench),"interPlan score (official interplan10 split, 80 scenarios; mean of 8 per-type reactive CLS, 0-100)",53,Llama-13B 48; GPT-3.5 40,2024-04,"arXiv 2404.07569v2 Table IV (self-reported, benchmark authors); also mh0797/interPlan README",no - not in https://github.com/mh0797/interPlan (no LLM planner code found),no,n/a,GT tracked objects + HD map/route from nuPlan (privileged perception; no sensors); LLM (Llama-2-7B) in the loop,"not audited; LLM-in-the-loop selects behavior, rule-based PDM-Closed executes",no,yes,"Benchmark authors' own planner (Hallgarten, Zapata, Stoll, Renz, Zell; Bosch/Tuebingen) -> PDM lineage family."
interplan,10,"PLUTO (with rule-based refinement, as released)",PLUTO lineage (jchengai PLUTO/PlanTF codebase),"interPlan score (official interplan10 split, 80 scenarios; mean of 8 per-type reactive CLS, 0-100)",48.92,SAH-Drive re-eval 48 (arXiv 2505.24390 T1); FlowDrive re-eval 42.87 (arXiv 2509.21961 T1); RAD-LAD lists 49,2024-04,ICLR 2026 BIRDriver Table 1 (re-evaluation by third party; PLUTO paper arXiv 2404.14327 reports no interPlan),yes - https://github.com/jchengai/pluto,yes - checkpoint linked in pluto README (pluto_1M_aux_cil.ckpt; also redistributed in SAH-Drive repo),none (no LICENSE in repo),GT tracked objects + HD map/route from nuPlan (privileged perception; no sensors); learned + rule-based post-processing,not audited; rule-based post-processing: rule scorer re-ranks learned candidates ~ metric_proxy_candidate_selection-like,no,yes,Re-evaluations disagree (42.87 to 48.92) -> rank 10 is fragile; with 42.87 STR2 (46.03) would take #10.
interplan,11,STR2-CPKS-800m,StateTransformer (Tsinghua MARS Lab),"interPlan score (official interplan10 split, 80 scenarios; mean of 8 per-type reactive CLS, 0-100)",46.03,CKS-800m 44.77; CPKS-100m 42.13; TestHard R 82.02,2024-10,arXiv 2410.15774v2 Table II (self-reported),yes - https://github.com/Tsinghua-MARS-Lab/StateTransformer,yes - https://huggingface.co/JohnZhan/StateTransformer2 (README; exact interPlan ckpt not specified),none (no LICENSE in repo),raster BEV rendered from GT objects+map (privileged perception),not audited; rule-based post-processing: 21 lateral/speed candidates scored as in PDM ~ metric_proxy_candidate_selection-like,no,yes,Outside top-10; listed for completeness.
interplan,12,AWM-Planner (Plan-R1 fine-tuned vs adversarial world model),Plan-R1 lineage (Tongji),"interPlan score (official interplan10 split, 80 scenarios; mean of 8 per-type reactive CLS, 0-100)",45.92,Full interPlan (335) 58.74; InterPlan-LongTail 40.70,2026-07,"arXiv 2607.10630v1 Table 1, column InterPlan10 (self-reported)",no - no code link,no,not found,GT tracked objects + HD map/route from nuPlan (privileged perception; no sensors); learned only (no post-processing reported),not audited; learning-only per paper,no,yes,"Best learning-only planner WITHOUT rule post-processing on official split besides TerraZero; Table 1 also re-evaluates Plan-R1 40.95, PLUTO 42.87, Flow Planner 35.42 on InterPlan10 (some cells appear copied from FlowDrive)."
