source,repeat,level,route,seed,arm,step,sim_time_s,speed_mps,speed_band,p0_x_m,p0_y_m,r0_x_m,r0_y_m,theta0_deg,rear_first_mps,direct_first_mps,C_throttle,B_raw_brake
d2,1,1,26405,1,B,327,16.400000244379044,0.5206927983389793,0.5-3,0.0005696614971384406,-0.2652994990348816,1.3865871530555303,1.1236972988892158,-89.8769724424904,7.138985420967952,1.0612004425357575,0.0,0.0
d2,1,1,26405,1,B,328,16.4500002451241,0.1483019555683182,<0.5,0.001953125,-0.291015625,1.3816311872907243,1.097953093682082,-89.6154703404155,7.059071591783646,1.1640887161477427,0.75,0.0
d2,1,1,26405,1,B,329,16.50000024586916,1.3846053842761843,0.5-3,0.044189453125,-0.2679036557674408,1.2071349012001593,1.1025781352659387,-80.63366506000938,6.539545200164345,1.0860944823802097,0.75,1.0
d2,1,1,26405,1,B,330,16.550000246614218,1.3686355695538504,0.5-3,0.0533854179084301,-0.2737630307674408,1.1765298864140326,1.0895571210581791,-78.96546297492759,6.414180906303163,1.1156788058234859,0.75,1.0
d2,1,1,26405,1,B,331,16.600000247359276,1.7358355958736928,0.5-3,0.1004231795668602,-0.2734375,1.0105694037451485,1.0304106742063721,-69.8336390508015,5.773036188771735,1.1651807166311523,0.75,1.0
d2,1,1,3514,1,B,6,0.3500000052154064,0.0002509230376402106,<0.5,0.0009358724346384406,0.0599568709731102,1.3682574816182913,-1.3288739493112085,89.10573741455387,7.629452938880896,0.23985669835466678,0.75,1.0
d2,1,1,3514,1,B,7,0.4000000059604645,0.00018821664372479992,<0.5,0.0017496745567768812,0.0883992537856102,1.3632627676953755,-1.3003287505230783,88.8661003875887,7.535877104328456,0.35366627050726457,0.75,1.0
d2,1,1,3514,1,B,8,0.45000000670552254,0.00015242376813940197,<0.5,0.0024007163010537624,0.0842692106962204,1.351846025405726,-1.3041674736463444,88.36816179275044,7.513550932252843,0.3372136013893184,0.75,1.0
d2,1,1,3514,1,B,9,0.5000000074505806,0.00012898507101922707,<0.5,0.0019938151817768812,0.0832926481962204,1.357754192608221,-1.305309572560742,88.62874592631641,7.533742260272948,0.3332660328930849,0.75,1.0
d2,1,1,3514,1,B,10,0.5500000081956387,0.0001047694287891579,<0.5,0.0019938151817768812,0.0714518278837204,1.3522497858627482,-1.317007714267986,88.40161459892501,7.550458320189294,0.28591856202503224,0.75,1.0
d2,1,1,3514,1,B,11,0.6000000089406967,8.325418116291971e-05,<0.5,0.0030517578125,0.0845947265625,1.341976106542044,-1.3035023266545436,87.93394863503897,7.483334215306492,0.3385990192054383,0.75,1.0
