base_id,scenario,cls,seed,k,mode_x10,mode_x00
24816,Accident,1W,0,5,keep,keep
24816,Accident,1W,0,9,keep,keep
24816,Accident,1W,0,13,keep,keep
24816,Accident,1W,0,17,keep,keep
24816,Accident,1W,0,21,keep,keep
24816,Accident,1W,0,25,keep,keep
24816,Accident,1W,0,29,keep,keep
24816,Accident,1W,0,33,keep,keep
24816,Accident,1W,0,37,keep,keep
24816,Accident,1W,0,41,keep,keep
24816,Accident,1W,0,45,curve_or_other,keep
24816,Accident,1W,0,49,curve_or_other,keep
24816,Accident,1W,0,53,curve_or_other,keep
24816,Accident,1W,0,57,curve_or_other,keep
24816,Accident,1W,0,61,curve_or_other,keep
24816,Accident,1W,0,65,lane_change,keep
24816,Accident,1W,0,69,lane_change,keep
24816,Accident,1W,0,73,lane_change,keep
24816,Accident,1W,0,77,lane_change,keep
24816,Accident,1W,0,81,lane_change,keep
24816,Accident,1W,0,85,lane_change,keep
24816,Accident,1W,0,89,lane_change,keep
24816,Accident,1W,0,93,lane_change,keep
24816,Accident,1W,0,97,lane_change,keep
24816,Accident,1W,0,101,curve_or_other,keep
24816,Accident,1W,0,105,nudge_return,keep
24816,Accident,1W,0,109,nudge_return,keep
24816,Accident,1W,0,113,nudge_return,keep
24816,Accident,1W,0,117,nudge_return,keep
24816,Accident,1W,0,121,nudge_return,keep
24816,Accident,1W,0,125,nudge_return,keep
24816,Accident,1W,0,129,nudge_return,keep
24816,Accident,1W,0,133,nudge_return,
24816,Accident,1W,0,137,nudge_return,
24816,Accident,1W,0,141,nudge_return,
24816,Accident,1W,0,145,turn,
24816,Accident,1W,0,149,turn,
24816,Accident,1W,0,153,curve_or_other,
24816,Accident,1W,0,157,curve_or_other,
24816,Accident,1W,0,161,lane_change,
24816,Accident,1W,0,165,lane_change,
24816,Accident,1W,0,169,lane_change,
24816,Accident,1W,0,173,lane_change,
24816,Accident,1W,0,177,,
24816,Accident,1W,0,181,,
24816,Accident,1W,0,185,,
24816,Accident,1W,0,189,,
24816,Accident,1W,0,193,,
24816,Accident,1W,0,197,,
24816,Accident,1W,0,201,,
24816,Accident,1W,0,205,,
24816,Accident,1W,0,209,,
24816,Accident,1W,0,213,,
24816,Accident,1W,0,217,,
24816,Accident,1W,0,221,,
24816,Accident,1W,0,225,,
24816,Accident,1W,0,229,,
24816,Accident,1W,0,233,,
24816,Accident,1W,0,237,,
24816,Accident,1W,0,241,,
24816,Accident,1W,0,245,,
24816,Accident,1W,0,249,,
24816,Accident,1W,0,253,,
24816,Accident,1W,0,257,,
24816,Accident,1W,0,261,,
24816,Accident,1W,0,265,,
24816,Accident,1W,0,269,,
