source,route,seed,step,sim_time,speed,raw_speed,plan_curvature,dense_turn_distance_m,b_executed,b_raw,c_shadow,d_shadow,c_replay,c_replay_diff,b_replay_diff,horizon_m,station_m,lookahead_m,lookahead_s,aim_x,aim_y,pursuit_curvature,c_nominal,c_after_rate,c_after_max,rate_clamped,max_clamped,horizon_capped,aim_b,b_pid_on_c_aim,no_rate,no_max,c_target_speed,c_reason,time_0.3,time_0.4,time_0.6,time_0.7,time_1.0,b_aim_index,b_aim_x,b_aim_y,b_aim_target_m,b_aim_actual_m,b_angle,b_p,b_i,b_d,b_pid,b_desired_speed,b_brake
D3b,2084,0,382,19.150000285357237,1.6958959844249846,1.6958959844249846,-0.09452483746288752,4.2764835281377,-0.059404172003269196,-0.05940417179734342,0.04554146070570629,0.04520958847545313,0.045541460705706305,1.3877787807814457e-17,1.1197516316951983e-09,14.33909647593997,0.0,3.0,1.7689764157423775,2.9981668628109315,-0.08490476225572305,-0.01887566666033631,0.045541460705706305,0.045541460705706305,0.045541460705706305,0,0,0,0.022889659681644022,-0.026857828028972068,0.045541460705706305,0.045541460705706305,2.380223684590567,tracking,0.045541460705706305,0.045541460705706305,0.045541460705706305,0.045541460705706305,0.045541460705706305,3,4.2994794845581055,-0.25199127197265625,3.0,4.306857722201469,-0.03726946837490806,-0.04658683546863508,-0.009977066445433188,-0.0028402710030267773,-0.05940417291709505,5.527360757608459,0
D3b,2084,0,386,19.35000028833747,2.7814617588477115,2.7814617588477115,-0.12713578690118627,3.8292059285862656,-0.0552835650742054,-0.055283566158678805,0.037691359472744025,0.03550303067142634,0.03769135947274407,4.163336342344337e-17,5.523264831608365e-10,17.208801273794194,0.0,3.0,1.0785695652500444,2.998686851544962,-0.06883526298295066,-0.015302061910442234,0.03769135947274407,0.03769135947274407,0.03769135947274407,0,0,0,0.026682237233159743,-0.03659764064532566,0.03769135947274407,0.03769135947274407,4.114584031097441,tracking,0.03769135947274407,0.03769135947274407,0.03769135947274407,0.03769135947274407,0.03769135947274407,2,4.075520992279053,-0.20151519775390625,3.0,4.080499936702981,-0.03145221545690071,-0.03931526932112589,-0.012565592929977405,-0.0034027033552490324,-0.05528356560635232,7.438062301540449,0
D3b,2084,0,387,19.400000289082527,3.15601173437451,3.15601173437451,-0.1313517781937379,3.6786872062589175,-0.05297573283314705,-0.05297573332157401,0.05637074867187399,0.053115255498599835,0.05637074867187408,9.020562075079397e-17,4.431369167445798e-09,17.598271420819064,0.0,3.0,0.950566807887541,2.9979045097050117,-0.10230905724617935,-0.022740655764093298,0.05637074867187408,0.05637074867187408,0.05637074867187408,0,0,0,0.03002881757605754,-0.022372642877426626,0.05637074867187408,0.05637074867187408,4.459703010856746,tracking,0.05637074867187408,0.05637074867187408,0.05637074867187408,0.05637074867187408,0.0516372124897617,2,4.3046875,-0.21320852637290955,3.0,4.309964309408415,-0.03150564012185566,-0.039382050152319575,-0.013577660201137116,-1.6027399486484573e-05,-0.052975737752943175,7.776488490947505,0
D3b,2084,0,388,19.450000289827585,3.544846026706917,3.544846026706917,-0.13024366306380347,3.5083915768502685,-0.07563294470310211,-0.07563294702933894,0.062203788526530905,0.05806425591286497,0.06220378852653083,7.632783294297951e-17,1.816758937733809e-09,18.005084238878162,0.0,3.0,0.8462990994243361,2.9968235958188925,-0.11203466488876104,-0.02491457656148717,0.06220378852653083,0.06220378852653083,0.06220378852653083,0,0,0,0.01888085266827189,-0.029202134464135634,0.06220378852653083,0.06220378852653083,4.751246005289144,tracking,0.06220378852653083,0.06220378852653083,0.06220378852653083,0.06220378852653083,0.03997438717779275,2,4.5026044845581055,-0.32208251953125,3.0,4.514109468516505,-0.04546156361368627,-0.05682695451710784,-0.014619213647922971,-0.004186777047549183,-0.07563294521258,8.077736158006575,0
D3b,2084,0,389,19.500000290572643,3.9025651871152682,3.9025651871152682,-0.12966950987061662,3.3199049354245247,-0.09091217815876007,-0.09091217966543304,0.08071797909881309,0.0740910459496671,0.08071797909881324,1.5265566588595902e-16,3.308144036484606e-11,18.366791238092198,0.0,3.0,0.7687251477322704,2.9950875788295606,-0.1445087920555161,-0.03214366425584592,0.08071797909881324,0.08071797909881324,0.08071797909881324,0,0,0,0.013294270871174631,-0.02451626807122844,0.08071797909881324,0.08071797909881324,5.023810781000883,tracking,0.08071797909881324,0.08071797909881324,0.08071797909881324,0.08071797909881324,0.03357261993396723,2,4.677083492279053,-0.4188029170036316,3.0,4.695796617938214,-0.05685360119105559,-0.07106700148881949,-0.0164275668703213,-0.0034176112732107957,-0.0909121796323516,8.350050668672871,0
D3b,2084,0,390,19.5500002913177,4.249979054799057,4.249979054799057,-0.1301319501876954,3.1143248960612517,-0.10052479803562164,-0.10052479482359357,0.09304567692657542,0.08367198129756719,0.09304567692657534,8.326672684688674e-17,8.378927884855614e-09,18.622876860451193,0.0,3.0,0.7058858317460209,2.994136481791625,-0.16561914476861206,-0.03683583919039199,0.09304567692657534,0.09304567692657534,0.09304567692657534,0,0,0,0.007080368928808861,-0.017932857360131817,0.09304567692657534,0.09304567692657534,5.274234291623503,tracking,0.09304567692657534,0.09304567692657534,0.09304567692657534,0.09304567692657534,0.02311357233301194,2,4.8515625,-0.48992919921875,3.0,4.876237208304511,-0.06407107741220662,-0.08008884676525828,-0.018270713570917863,-0.0021652428663453084,-0.10052480320252145,8.621957936404835,0
D3b,2084,0,391,19.60000029206276,4.59531653548211,4.59531653548211,-0.13398934750580974,2.8914109986255454,-0.13833001255989075,-0.13833000971211326,0.09479483293884848,0.08214272241864948,0.09479483293884838,9.71445146547012e-17,1.5167772704494098e-08,18.708681067398434,0.0,3.0,0.6528385970446017,2.993388659317819,-0.16754020331024402,-0.037279016810026815,0.09479483293884838,0.09479483293884838,0.09479483293884838,0,0,0,-0.006954324563540781,-0.006954324563540781,0.09479483293884838,0.09479483293884838,5.500790647550969,tracking,0.09479483293884838,0.09479483293884838,0.09479483293884838,0.0728385054311618,0.0003235796436871838,2,4.9375,-0.6895751953125,3.0,4.9854207645885085,-0.08833942581774336,-0.1104242822721792,-0.020625207750500345,-0.007280504521661021,-0.13832999454434056,8.788866269970466,0
D3b,2084,0,393,19.700000293552876,5.295981761638497,5.295981761638497,-0.1382162754911975,2.39515154592938,-0.08796663582324982,-0.08796663393576941,0.08894760314890068,0.07925618786382983,0.08894760314890054,1.3877787807814457e-16,3.038194390514448e-09,19.703730409917025,0.0,3.0,0.5664672075969999,2.992140922260627,-0.15476044610449335,-0.03447986912079692,0.08894760314890054,0.08894760314890054,0.08894760314890054,0,0,0,0.08782397010283574,0.019754778440903634,0.08894760314890054,0.08894760314890054,6.073863247363523,tracking,0.08894760314890054,0.08894760314890054,0.0886421583437179,0.04152478091409575,0.019754778440903634,1,3.2916667461395264,-0.2393392026424408,3.0,3.3003565294619754,-0.04620771600451402,-0.05775964500564252,-0.023217042805484273,-0.006989949162837009,-0.0879666369739638,9.719852758236716,0
D3b,2084,0,394,19.750000294297934,5.356976825944215,5.356976825944215,-0.12710527598081406,2.128282605036624,-0.15534180402755737,-0.1553418102860451,0.00500755970821981,-0.009192821426820402,0.005007559708219864,5.377642775528102e-17,4.071406128902666e-09,19.737912584655874,0.0,3.0,0.5600173563325473,2.9998924857689255,-0.008695954462806292,-0.001932556603121444,0.005007559708219864,0.005007559708219864,0.005007559708219864,0,0,0,0.005978896683294516,-0.011052398341215575,0.005007559708219864,0.005007559708219864,6.122419635534727,tracking,0.005007559708219864,0.005007559708219864,0.005546160070384573,-0.011052398341215575,-0.011052398341215575,1,3.3802084922790527,-0.49169921875,3.0,3.415783595749998,-0.09196036422709222,-0.11495045528386527,-0.026665556464000227,-0.013725794466773461,-0.15534180621463897,9.834207645353704,0
D3b,2084,0,395,19.80000029504299,5.352531154607998,5.352531154607998,-0.12185687314142207,1.8626291214805555,-0.1962822675704956,-0.1962822610636552,-0.057621540604330314,-0.08364052474108072,-0.05762154060433044,1.249000902703301e-16,1.859304760154501e-08,19.65847555386818,0.0,3.0,0.5604824919920919,2.997680393903156,0.10016978061213574,0.022269547618481766,-0.05762154060433044,-0.05762154060433044,-0.05762154060433044,0,0,0,-0.0539851741625061,-0.09499244178189625,-0.05762154060433044,-0.05762154060433044,6.182988493546088,tracking,-0.05762154060433044,-0.05762154060433044,-0.05610136086501551,-0.07886445581479347,-0.09499244178189625,1,3.3776042461395264,-0.6702474355697632,3.0,3.4434636731679924,-0.12470991184734075,-0.15588738980917594,-0.030569988375357106,-0.009824864286074557,-0.1962822424706076,9.852598879179654,0
