condition,status,field,band,baseline,candidate,comparison,limit
G2/26966/baseline-zero/completed,pass,,,,,,
G2/26966/baseline-zero/no_collision,pass,,,,,,
G2/26966/baseline-zero/full_lateral_rms,pass,,,,,,
G2/26966/baseline-zero/full_lateral_p95,pass,,,,,,
G2/26966/baseline-zero/cruise_speed,pass,,,,,,
G2/26966/baseline-zero/pose,pass,,,,,,
G2/26966/baseline-zero/heading,pass,,,,,,
G2/26966/baseline-zero/endpoint,pass,,,,,,
G2/26966/baseline-zero/hold_duration,pass,,,,,,
G2/26966/baseline-zero/hold_displacement,pass,,,,,,
G2/26966/baseline-zero/hold_speed,pass,,,,,,
G2/26966/baseline-zero/telemetry_complete,pass,,,,,,
case/26966/baseline-zero/no_invalid_control,pass,,,,,,
case/26966/baseline-zero/complete_frames_and_truth,pass,,,,,,
case/26966/baseline-zero/reason_evidence,pass,,,,,,
case/26966/baseline-zero/common_config_contract,pass,,,,,,
case/26966/baseline-zero/pose_compensation_contract,pass,,,,,,
case/26966/baseline-zero/pose_fields_complete,pass,,,,,,
case/26966/baseline-zero/aim_mode_evidence,pass,,,,,,
G2/26966/candidate-fixed-k/completed,pass,,,,,,
G2/26966/candidate-fixed-k/no_collision,pass,,,,,,
G2/26966/candidate-fixed-k/full_lateral_rms,pass,,,,,,
G2/26966/candidate-fixed-k/full_lateral_p95,pass,,,,,,
G2/26966/candidate-fixed-k/cruise_speed,pass,,,,,,
G2/26966/candidate-fixed-k/pose,pass,,,,,,
G2/26966/candidate-fixed-k/heading,pass,,,,,,
G2/26966/candidate-fixed-k/endpoint,pass,,,,,,
G2/26966/candidate-fixed-k/hold_duration,pass,,,,,,
G2/26966/candidate-fixed-k/hold_displacement,pass,,,,,,
G2/26966/candidate-fixed-k/hold_speed,pass,,,,,,
G2/26966/candidate-fixed-k/telemetry_complete,pass,,,,,,
case/26966/candidate-fixed-k/no_invalid_control,pass,,,,,,
case/26966/candidate-fixed-k/complete_frames_and_truth,pass,,,,,,
case/26966/candidate-fixed-k/reason_evidence,pass,,,,,,
case/26966/candidate-fixed-k/common_config_contract,pass,,,,,,
case/26966/candidate-fixed-k/pose_compensation_contract,pass,,,,,,
case/26966/candidate-fixed-k/pose_fields_complete,pass,,,,,,
case/26966/candidate-fixed-k/aim_mode_evidence,pass,,,,,,
G2/17563/baseline-zero/completed,pass,,,,,,
G2/17563/baseline-zero/no_collision,pass,,,,,,
G2/17563/baseline-zero/full_lateral_rms,pass,,,,,,
G2/17563/baseline-zero/full_lateral_p95,pass,,,,,,
G2/17563/baseline-zero/cruise_speed,pass,,,,,,
G2/17563/baseline-zero/pose,pass,,,,,,
G2/17563/baseline-zero/heading,pass,,,,,,
G2/17563/baseline-zero/endpoint,pass,,,,,,
G2/17563/baseline-zero/hold_duration,pass,,,,,,
G2/17563/baseline-zero/hold_displacement,pass,,,,,,
G2/17563/baseline-zero/hold_speed,pass,,,,,,
G2/17563/baseline-zero/telemetry_complete,pass,,,,,,
case/17563/baseline-zero/no_invalid_control,pass,,,,,,
case/17563/baseline-zero/complete_frames_and_truth,pass,,,,,,
case/17563/baseline-zero/reason_evidence,pass,,,,,,
case/17563/baseline-zero/common_config_contract,pass,,,,,,
case/17563/baseline-zero/pose_compensation_contract,pass,,,,,,
case/17563/baseline-zero/pose_fields_complete,pass,,,,,,
case/17563/baseline-zero/aim_mode_evidence,pass,,,,,,
G2/17563/candidate-fixed-k/completed,pass,,,,,,
G2/17563/candidate-fixed-k/no_collision,pass,,,,,,
G2/17563/candidate-fixed-k/full_lateral_rms,pass,,,,,,
G2/17563/candidate-fixed-k/full_lateral_p95,pass,,,,,,
G2/17563/candidate-fixed-k/cruise_speed,pass,,,,,,
G2/17563/candidate-fixed-k/pose,pass,,,,,,
G2/17563/candidate-fixed-k/heading,pass,,,,,,
G2/17563/candidate-fixed-k/endpoint,pass,,,,,,
