method,reported_DS,file,n_routes_in_file,url,commit_or_date,notes
"TransFuser++ (TF++, Bench2Drive traj)",84.21,tfpp/merged.json,220,https://raw.githubusercontent.com/autonomousvision/carla_garage/leaderboard_2/Bench2Drive/tfpp_b2d_traj/merged.json,cf518d1c 2024-12-06,Official authors run (carla_garage LB2 release). eval_bench2drive220_0..7.json are the 8 parallel shards merged into merged.json; merged_ability.json = multi-ability. Same file is vendored in RenzKa/simlingo and plant2.
PDM-Lite (privileged expert),,pdm_lite/merged.json,220,https://raw.githubusercontent.com/autonomousvision/carla_garage/leaderboard_2/Bench2Drive/pdm_lite_b2d_traj/merged.json,cf518d1c 2024-12-06,"Official authors run of the rule-based expert, DS 97.02. 4 shards + merged + ability."
UniAD-Base,45.81,uniad_base/UniAD-Base.json,218,https://raw.githubusercontent.com/Thinklab-SJTU/Bench2DriveZoo/uniad/vad/analysis/UniAD-Base.json,54d6815b 2024-09-05,"Official Bench2Drive authors eval json (Bench2DriveZoo analysis/). 218 records, 2 crashed routes missing; eval num 218 but official DS divides by 220. Identical copies in xiaomi-mlab/Orion assets/results."
UniAD-Tiny,40.73,uniad_tiny/UniAD-Tiny.json,215,https://raw.githubusercontent.com/Thinklab-SJTU/Bench2DriveZoo/uniad/vad/analysis/UniAD-Tiny.json,54d6815b 2024-09-05,Official. 215 records (5 missing).
VAD,42.35,vad/VAD.json,213,https://raw.githubusercontent.com/Thinklab-SJTU/Bench2DriveZoo/uniad/vad/analysis/VAD.json,54d6815b 2024-09-05,"Official. 213 records (7 missing), header eval num 214."
TCP-traj,59.90,tcp_traj/TCP-only-traj.json,210,https://raw.githubusercontent.com/Thinklab-SJTU/Bench2DriveZoo/tcp%2Fadmlp/TCP/TCP-only-traj.json,a96144c7 2024-09-05,"Official, branch tcp/admlp. 210 records (10 missing). Pointed to by maintainer in Thinklab-SJTU/Bench2Drive#159."
"DriveMoE (base, bf16) seed1",74.22,drivemoe/drivemoe_base_bf16_seed1.json,220,https://raw.githubusercontent.com/Thinklab-SJTU/DriveMoE/HEAD/docs/drivemoe_base_bf16_seed1.json,6d7f8ad8 2026-03-31,"Official authors run, matches paper."
"DriveMoE (base, bf16) seed2",74.22,drivemoe/drivemoe_base_bf16_seed2.json,220,https://raw.githubusercontent.com/Thinklab-SJTU/DriveMoE/HEAD/docs/drivemoe_base_bf16_seed2.json,6d7f8ad8 2026-03-31,"Official authors second eval seed, DS 73.08."
"Drive-pi0 (base, bf16)",55.85,drivepi0/drivepi_base_bf16.json,220,https://raw.githubusercontent.com/Thinklab-SJTU/DriveMoE/HEAD/docs/drivepi_base_bf16.json,6d7f8ad8 2026-03-31,"Official (DriveMoE repo), baseline Drive-pi0."
"Drive-pi0 (base, fp32)",,drivepi0/drivepi_base_fp32.json,220,https://raw.githubusercontent.com/Thinklab-SJTU/DriveMoE/HEAD/docs/drivepi_base_fp32.json,6d7f8ad8 2026-03-31,"Official, fp32 inference variant, DS 65.85."
"Drive-pi0 (full, fp32)",,drivepi0/drivepi_full_fp32.json,220,https://raw.githubusercontent.com/Thinklab-SJTU/DriveMoE/HEAD/docs/drivepi_full_fp32.json,6d7f8ad8 2026-03-31,"Official, full-data variant, DS 67.41."
BLUE (SimLingo + gate),90.58 +- 0.12,blue/bench2drive_merged_1.json,220,https://raw.githubusercontent.com/George-Ling3/BLUE/HEAD/evaluation_logs/bench2drive/bench2drive_merged_1.json,6970cb69 2026-08-22,Official authors eval log run 1 of 6 (README reports mean+-std over 3 seeds; README links _2 as the headline). Some runs have 218/219 records (crashed routes dropped). Per-route *_res.json also on HF George-Ling/blue_gate.
BLUE (SimLingo + gate),90.58 +- 0.12,blue/bench2drive_merged_2.json,218,https://raw.githubusercontent.com/George-Ling3/BLUE/HEAD/evaluation_logs/bench2drive/bench2drive_merged_2.json,6970cb69 2026-08-22,Official authors eval log run 2 of 6 (README reports mean+-std over 3 seeds; README links _2 as the headline). Some runs have 218/219 records (crashed routes dropped). Per-route *_res.json also on HF George-Ling/blue_gate.
BLUE (SimLingo + gate),90.58 +- 0.12,blue/bench2drive_merged_3.json,218,https://raw.githubusercontent.com/George-Ling3/BLUE/HEAD/evaluation_logs/bench2drive/bench2drive_merged_3.json,6970cb69 2026-08-22,Official authors eval log run 3 of 6 (README reports mean+-std over 3 seeds; README links _2 as the headline). Some runs have 218/219 records (crashed routes dropped). Per-route *_res.json also on HF George-Ling/blue_gate.
BLUE (SimLingo + gate),90.58 +- 0.12,blue/bench2drive_merged_4.json,218,https://raw.githubusercontent.com/George-Ling3/BLUE/HEAD/evaluation_logs/bench2drive/bench2drive_merged_4.json,6970cb69 2026-08-22,Official authors eval log run 4 of 6 (README reports mean+-std over 3 seeds; README links _2 as the headline). Some runs have 218/219 records (crashed routes dropped). Per-route *_res.json also on HF George-Ling/blue_gate.
BLUE (SimLingo + gate),90.58 +- 0.12,blue/bench2drive_merged_5.json,220,https://raw.githubusercontent.com/George-Ling3/BLUE/HEAD/evaluation_logs/bench2drive/bench2drive_merged_5.json,6970cb69 2026-08-22,Official authors eval log run 5 of 6 (README reports mean+-std over 3 seeds; README links _2 as the headline). Some runs have 218/219 records (crashed routes dropped). Per-route *_res.json also on HF George-Ling/blue_gate.
BLUE (SimLingo + gate),90.58 +- 0.12,blue/bench2drive_merged_6.json,219,https://raw.githubusercontent.com/George-Ling3/BLUE/HEAD/evaluation_logs/bench2drive/bench2drive_merged_6.json,6970cb69 2026-08-22,Official authors eval log run 6 of 6 (README reports mean+-std over 3 seeds; README links _2 as the headline). Some runs have 218/219 records (crashed routes dropped). Per-route *_res.json also on HF George-Ling/blue_gate.
ORION,77.74,orion/ORION.json,216,https://raw.githubusercontent.com/xiaomi-mlab/Orion/HEAD/assets/results/ORION.json,657f3cf0 2026-06-22,Official. 216 records (4 missing).
MindDrive (0.5B),78.04,minddrive/minddrive.json,216,https://raw.githubusercontent.com/xiaomi-mlab/MindDrive/HEAD/assets/results/minddrive.json,1a4085da 2026-06-23,Official. 216 records.
MindDrive-3B,80.60,minddrive/minddrive_3B.json,218,https://raw.githubusercontent.com/xiaomi-mlab/MindDrive/HEAD/assets/results/minddrive_3B.json,1a4085da 2026-06-23,Official. 218 records.
UniDriveVLA,78.73,unidrivevla/merged.json,220,https://raw.githubusercontent.com/xiaomi-research/unidrivevla/HEAD/result/merged.json,a93c175a 2026-04-14,Official repo result/merged.json; file DS 78.37 vs paper 78.73.
Hydra-NeXt,73.86,hydra_next/merged_new.json,220,https://huggingface.co/Zzxxxxxxxx/HydraNeXt/resolve/main/merged_new.json,HF e41c4b2b 2025-10-16,Official (linked from woxihuanjiangguo/Hydra-NeXt README); merged_new matches paper.
Hydra-NeXt (older run),73.86,hydra_next/merged.json,220,https://huggingface.co/Zzxxxxxxxx/HydraNeXt/resolve/main/merged.json,HF e41c4b2b 2025-10-16,"Official HF, older/other run, DS 65.89; unclear which checkpoint. Prefer merged_new.json."
Orion-Lite (A100 eval),80.57,orion_lite/orion_lite_DS_SR_a100.json,220,https://raw.githubusercontent.com/tue-mps/Orion-Lite/HEAD/eval/eval_results/orion_lite_DS_SR_a100.json,3c579413 2026-09-24,"Official authors, A100 run (paper number)."
Orion-Lite (A6000 eval),80.57,orion_lite/orion_lite_DS_SR_a6000.json,220,https://raw.githubusercontent.com/tue-mps/Orion-Lite/HEAD/eval/eval_results/orion_lite_DS_SR_a6000.json,3c579413 2026-09-24,"Official authors, replicate on A6000, DS 80.59 (a second eval run of the same checkpoint)."
SparseDriveV2,89.15,sparsedrivev2/merged.json,220,https://raw.githubusercontent.com/swc-17/SparseDriveV2/bench2drive/docs/merged.json,8022aab8 2026-05-08,"Official, on non-default branch bench2drive. + merged_ability.json."
R2SE,86.28,r2se/sim_results_3.json,220,https://huggingface.co/unknownuser6666/R2SE_test/resolve/main/R2SE_test/sim_results_3.json,HF 0e98e312 2025-05-22,Anonymous HF account (likely the authors anonymous-review upload); DS 86.28 and SR 69.55 match paper exactly. No top-level DS header; + _ability.json.
"SimLingo (official ckpt, user re-run)",85.07,simlingo_userrerun/merged.json,220,https://raw.githubusercontent.com/Enderpeanut-SZY/simlingo-B2D/HEAD/docs/results/merged.json,ad2edd54 2026-07-20,"THIRD-PARTY re-run of public epoch=013 checkpoint (simlingo commit 743b243), traffic seed 1, DS 86.81. Not the authors run."
"SimLingo retrained, InternVL2-1B (ZhanqiuG)",,simlingo_retrain_zhanqiug/Simlingo-InternVL2-1B/merged.json,219,https://huggingface.co/ZhanqiuG/Simlingo-InternVL2-1B/resolve/main/res/merged.json,HF 410211f2 2026-04-28,"THIRD-PARTY retrain of SimLingo (same backbone as official), DS 89.41, 219 records. Not the authors checkpoint."
"SimLingo retrained, InternVL3.5-1B (ZhanqiuG)",,simlingo_retrain_zhanqiug/Simlingo-InternVL3_5-1B/merged.json,220,https://huggingface.co/ZhanqiuG/Simlingo-InternVL3_5-1B/resolve/main/res/merged.json,HF b514c9f7 2026-04-27,"THIRD-PARTY retrain with a different backbone, DS 80.68. Qwen3-VL-2B sibling repo (DS 63.94) is gated, not downloaded."
"TFv6 / LEAD (tfv6_resnet34, user re-run)",95.28,tfv6_lead_userrerun/per_route_merged.json,211,https://github.com/lloitesa013/bench2drive-failure-taxonomy/tree/97e6acc1/results/per_route,97e6acc1 2026-06-20,"THIRD-PARTY re-run (kesai-labs/lead#89), single checkpoint model_0030_0 not the 3-seed ensemble, Windows single GPU. Merged by us from 220 per-route checkpoint_endpoint.json; 9 routes have empty records (sim crash) so 211; 9 more are Failed - Simulation crashed. taxonomy.json is the users failure labels."
PDM-Lite (user re-run),,pdm_lite_userrerun/per_route_merged.json,208,https://github.com/lloitesa013/bench2drive-failure-taxonomy/tree/97e6acc1/results/expert/per_route,97e6acc1 2026-06-20,"THIRD-PARTY re-run of the expert, same harness; 208 records, DS 95.71. + expert_per_route_summary.csv."
