route_id,town,scenario_types,dataset,same_town_scenario_clip_count,trigger_distance_checked,status
1711,Town12,ParkingCutIn,b2d_base,21,false,counted
1711,Town12,ParkingCutIn,b2d_full,120,false,counted
1711,Town12,ParkingCutIn,tfv6_lead,not determinable,false,not determinable
1711,Town12,ParkingCutIn,bridgedrive_lead,not determinable,false,not determinable
1711,Town12,ParkingCutIn,simlingo,not determinable,false,not determinable
1711,Town12,ParkingCutIn,blue,not determinable,false,not determinable
1773,Town12,ParkedObstacle,b2d_base,6,false,counted
1773,Town12,ParkedObstacle,b2d_full,155,false,counted
1773,Town12,ParkedObstacle,tfv6_lead,not determinable,false,not determinable
1773,Town12,ParkedObstacle,bridgedrive_lead,not determinable,false,not determinable
1773,Town12,ParkedObstacle,simlingo,not determinable,false,not determinable
1773,Town12,ParkedObstacle,blue,not determinable,false,not determinable
1790,Town12,HazardAtSideLane,b2d_base,31,false,counted
1790,Town12,HazardAtSideLane,b2d_full,33,false,counted
1790,Town12,HazardAtSideLane,tfv6_lead,not determinable,false,not determinable
1790,Town12,HazardAtSideLane,bridgedrive_lead,not determinable,false,not determinable
1790,Town12,HazardAtSideLane,simlingo,not determinable,false,not determinable
1790,Town12,HazardAtSideLane,blue,not determinable,false,not determinable
1792,Town12,HazardAtSideLane,b2d_base,31,false,counted
1792,Town12,HazardAtSideLane,b2d_full,33,false,counted
1792,Town12,HazardAtSideLane,tfv6_lead,not determinable,false,not determinable
1792,Town12,HazardAtSideLane,bridgedrive_lead,not determinable,false,not determinable
1792,Town12,HazardAtSideLane,simlingo,not determinable,false,not determinable
1792,Town12,HazardAtSideLane,blue,not determinable,false,not determinable
1825,Town12,ConstructionObstacleTwoWays,b2d_base,27,false,counted
1825,Town12,ConstructionObstacleTwoWays,b2d_full,35,false,counted
1825,Town12,ConstructionObstacleTwoWays,tfv6_lead,not determinable,false,not determinable
1825,Town12,ConstructionObstacleTwoWays,bridgedrive_lead,not determinable,false,not determinable
1825,Town12,ConstructionObstacleTwoWays,simlingo,not determinable,false,not determinable
1825,Town12,ConstructionObstacleTwoWays,blue,not determinable,false,not determinable
1833,Town12,ConstructionObstacleTwoWays,b2d_base,27,false,counted
1833,Town12,ConstructionObstacleTwoWays,b2d_full,35,false,counted
1833,Town12,ConstructionObstacleTwoWays,tfv6_lead,not determinable,false,not determinable
1833,Town12,ConstructionObstacleTwoWays,bridgedrive_lead,not determinable,false,not determinable
1833,Town12,ConstructionObstacleTwoWays,simlingo,not determinable,false,not determinable
1833,Town12,ConstructionObstacleTwoWays,blue,not determinable,false,not determinable
1852,Town12,AccidentTwoWays,b2d_base,35,false,counted
1852,Town12,AccidentTwoWays,b2d_full,55,false,counted
1852,Town12,AccidentTwoWays,tfv6_lead,not determinable,false,not determinable
1852,Town12,AccidentTwoWays,bridgedrive_lead,not determinable,false,not determinable
1852,Town12,AccidentTwoWays,simlingo,not determinable,false,not determinable
1852,Town12,AccidentTwoWays,blue,not determinable,false,not determinable
1956,Town12,ParkingExit,b2d_base,17,false,counted
1956,Town12,ParkingExit,b2d_full,93,false,counted
