route_id,variant,preset,cruise_mps,pi_pass,vendor_pass,paired,pi_failed_gates,vendor_failed_gates,newly_failed_gates,full_cte_rms_m_pi,full_cte_rms_m_vendor,full_cte_rms_m_delta,full_cte_p95_m_pi,full_cte_p95_m_vendor,full_cte_p95_m_delta,moving_cte_rms_m_pi,moving_cte_rms_m_vendor,moving_cte_rms_m_delta,cruise_speed_rms_mps_pi,cruise_speed_rms_mps_vendor,cruise_speed_rms_mps_delta,endpoint_error_m_pi,endpoint_error_m_vendor,endpoint_error_m_delta,stop_hold_displacement_m_pi,stop_hold_displacement_m_vendor,stop_hold_displacement_m_delta,cruise_signed_speed_std_mps_pi,cruise_signed_speed_std_mps_vendor,cruise_signed_speed_std_mps_delta,cruise_signed_speed_p95_minus_p5_mps_pi,cruise_signed_speed_p95_minus_p5_mps_vendor,cruise_signed_speed_p95_minus_p5_mps_delta,cruise_under_by_half_mps_fraction_pi,cruise_under_by_half_mps_fraction_vendor,cruise_under_by_half_mps_fraction_delta,underspeed_episodes_at_least_025s_pi,underspeed_episodes_at_least_025s_vendor,underspeed_episodes_at_least_025s_delta
1773,pi,carla,8.0,True,True,True,,,,0.036707608801624575,0.037118082090734326,-0.0004104732891097515,0.0683306687630115,0.06841705442582573,-8.638566281422844e-05,0.04026280827859372,0.0394632905468169,0.0007995177317768193,0.07109646498509346,0.22769226746084317,-0.15659580247574972,0.0338039835738504,0.15797066461132953,-0.12416668103747913,0.0006355684837791826,0.000619475465802344,1.609301797683856e-05,0.05871386429440092,0.15952807941637465,-0.10081421512197372,0.18855137825012136,0.45555870532989484,-0.2670073270797735,0.0,0.0,0.0,0,0,0
1773,pi,pursuit,8.0,True,True,True,,,,0.04941271094042161,0.04230393577958821,0.0071087751608334,0.07200201126452326,0.0715056215947536,0.0004963896697696563,0.04401730156002217,0.043291647193192874,0.0007256543668292953,0.07097906265076608,0.2230767251716312,-0.15209766252086515,0.07083336272728369,0.19257334860083433,-0.12173998587355064,0.0005954251599878779,0.0004958216312455485,9.960352874232941e-05,0.05856336284546476,0.157601848860035,-0.09903848601457024,0.1889733076095581,0.44884252548217773,-0.25986921787261963,0.0,0.0,0.0,0,0,0
1773,pi-max,pursuit,8.0,True,True,True,,,,0.0532359291828945,0.04547082425782011,0.007765104925074387,0.08268347580518398,0.08292990238106394,-0.00024642657587996275,0.04944027845415449,0.048544863536896174,0.0008954149172583151,0.07057028774293458,0.21996501177643032,-0.14939472403349574,0.07586832407518941,0.18784860647168947,-0.11198028239650006,0.000501722900802266,0.0009714331379453773,-0.0004697102371431113,0.05805892738014116,0.153670197633952,-0.09561127025381086,0.18009610176086444,0.43330812454223633,-0.2532120227813719,0.0,0.0,0.0,0,0,0
1773-speed6,pi,carla,6.0,True,False,True,,cruise_speed,,0.03810331193530968,0.04539125868105484,-0.0072879467457451635,0.07720742465023459,0.07800254099091798,-0.0007951163406833966,0.041894933303205574,0.04250453029461849,-0.000609596991412914,0.03768919680561622,0.6284915311465784,-0.5908023343409622,0.06566491960756142,0.09178260847746514,-0.02611768886990372,0.0009754781645921924,0.0009837355660835866,-8.25740149139418e-06,0.03375851734122952,0.46500493382376284,-0.4312464164825333,0.08923537731170672,1.3080437660217283,-1.2188083887100216,0.0,0.5208333333333334,-0.5208333333333334,0,18,-18
1773-speed6,pi,pursuit,6.0,True,False,True,,cruise_speed,,0.04338364688704039,0.060564178877810335,-0.017180531990769944,0.09146973663651298,0.10640252909380496,-0.014932792457291982,0.04807949096166741,0.047739769334128795,0.0003397216275386125,0.03703920219613221,0.6916927963157463,-0.6546535941196141,0.05942050981973577,0.13732985687525326,-0.0779093470555175,0.0005533538090490121,0.001000137963153526,-0.00044678415410451396,0.03304151493149927,0.5239265545733227,-0.49088503964182345,0.09154982566833514,1.3421968221664429,-1.2506469964981077,0.0,0.538860103626943,-0.538860103626943,0,17,-17
1773-speed6,pi-max,pursuit,6.0,True,,False,,,,0.04871488638500354,,,0.0947833644756723,,,0.05412465500638976,,,0.03710718347207354,,,0.059173889223870846,,,0.0009711119937606969,,,0.033145888076546226,,,0.0921987056732183,,,0.0,,,0,,
17563,pi,carla,6.0,True,False,True,,cruise_speed,,0.19050239807830618,0.18611255158692644,0.004389846491379745,0.5115980112898111,0.51516321036181,-0.0035651990719989257,0.20874485140754115,0.20893179751640165,-0.00018694610886049734,0.04674703659118392,0.6389039693870894,-0.5921569327959054,0.1013391175319244,0.25940408532214126,-0.15806496779021686,0.0014636107107742905,0.0014834577212320022,-1.9847010457711657e-05,0.043170372350725246,0.47209884895450505,-0.4289284766037798,0.13884935379028285,1.314902806282043,-1.17605345249176,0.0,0.53125,-0.53125,0,15,-15
17563,pi,pursuit,6.0,True,False,True,,cruise_speed,,0.20563860709351753,0.1954286708006344,0.010209936292883137,0.45780038725133093,0.45569127365299206,0.0021091135983388742,0.22436622598347342,0.21964674692549277,0.004719479057980647,0.046914015212527076,0.6443963143653287,-0.5974822991528017,0.12177501950500189,0.26657390584259105,-0.14479888633758917,0.0013646200241837405,0.0012156507331290446,0.00014896929105469585,0.04217669266345427,0.47019801943687245,-0.4280213267734182,0.11262683868408185,1.2976503372192383,-1.1850234985351564,0.0,0.5295950155763239,-0.5295950155763239,0,15,-15
17563,pi-max,pursuit,6.0,True,False,True,,cruise_speed,,0.14076830214135558,0.1543226995945846,-0.013554397453229033,0.35470645667358697,0.38060444643464375,-0.025897989761056783,0.1505779102439105,0.17299077374061564,-0.022412863496705127,0.09726399184322732,0.7547347732038965,-0.6574707813606692,0.11119568870946343,0.2812230822623201,-0.17002739355285668,0.0016242380685834537,0.0008729443455466541,0.0007512937230367996,0.11019550870154668,0.5541955566716652,-0.4440000479701185,0.39470863342285156,1.753143692016601,-1.3584350585937495,0.0,0.5779816513761468,-0.5779816513761468,0,15,-15
24240,pi,carla,8.0,True,True,True,,,,0.13307419379215013,0.13200230127848128,0.0010718925136688484,0.2473712528220392,0.24391722306062272,0.0034540297614164828,0.1547633489064966,0.1537205379629192,0.001042810943577388,0.08812954356166078,0.22177933717656934,-0.13364979361490856,0.07249075893680541,0.07952746150361902,-0.007036702566813602,0.0015051313197863572,0.0004704894194000143,0.001034641900386343,0.06614229725038452,0.15461438494564542,-0.0884720876952609,0.20315036773681694,0.45012352466583216,-0.24697315692901523,0.0,0.0,0.0,0,0,0
