event_id,split,log_name,city,track_token,instance_token,onset_frame_idx,onset_token,onset_timestamp_us,ego_speed_mps,speed_bin_mps,path_arclength_m,lateral_distance_m,box_x_m,box_y_m
test:2021.05.25.14.16.10_veh-35_00083_00485:46d87533c5485ca9:135,test,2021.05.25.14.16.10_veh-35_00083_00485,us-nv-las-vegas-strip,46d87533c5485ca9,d07be49649135fd0,135,d58af2ac67785801,1621966782000789,10.019899866119001,>10,26.424181480676562,3.9689098882280196,26.407810157632817,-4.108926729937882
test:2021.05.25.14.16.10_veh-35_00083_00485:187049ef86be5a2f:148,test,2021.05.25.14.16.10_veh-35_00083_00485,us-nv-las-vegas-strip,187049ef86be5a2f,de41282c8bea5490,148,34f30283d3bd53ec,1621966788500499,8.918042107844062,5–10,0.7800168969998358,3.083427297841696,0.7718872636888621,-3.085472461850132
test:2021.05.25.14.16.10_veh-35_00083_00485:8237076d6511592d:148,test,2021.05.25.14.16.10_veh-35_00083_00485,us-nv-las-vegas-strip,8237076d6511592d,55a28d2ad04b5b6e,148,34f30283d3bd53ec,1621966788500499,8.918042107844062,5–10,25.220929231410118,3.825267893120252,25.204022566309916,-3.9025668795670776
test:2021.05.25.14.16.10_veh-35_00083_00485:5ef5859d8c0d5521:151,test,2021.05.25.14.16.10_veh-35_00083_00485,us-nv-las-vegas-strip,5ef5859d8c0d5521,5901feb565e75ac8,151,cddadd26002959f4,1621966790000481,7.943688132855785,5–10,13.262131442433883,3.989657501992507,13.242256102273803,-4.028295362902614
test:2021.05.25.14.16.10_veh-35_00083_00485:ac10abf2728b5510:165,test,2021.05.25.14.16.10_veh-35_00083_00485,us-nv-las-vegas-strip,ac10abf2728b5510,96622e1c94b653e4,165,d7177c6df2945511,1621966797000023,4.320808200469822,2–5,29.9480589840422,3.6947589300199994,29.99488180034608,-3.588402897104205
test:2021.05.25.14.16.10_veh-35_00083_00485:7c3c3d9e1b90539a:170,test,2021.05.25.14.16.10_veh-35_00083_00485,us-nv-las-vegas-strip,7c3c3d9e1b90539a,2399e951e94453c7,170,8c6ee23dd9a15016,1621966799500167,7.362327021450991,5–10,27.1808876771686,3.3797905916983844,27.197759091016568,-3.208223624671134
test:2021.05.25.14.16.10_veh-35_00083_00485:b523fd026e995b01:170,test,2021.05.25.14.16.10_veh-35_00083_00485,us-nv-las-vegas-strip,b523fd026e995b01,1d729c1b17ce53de,170,8c6ee23dd9a15016,1621966799500167,7.362327021450991,5–10,27.6304047323957,3.9410791606700815,27.650180872006594,-3.7671735085463807
test:2021.05.25.14.16.10_veh-35_00083_00485:db1c111b196a5af6:188,test,2021.05.25.14.16.10_veh-35_00083_00485,us-nv-las-vegas-strip,db1c111b196a5af6,345775a8849551a3,188,04fbfc25a92a5044,1621966808500991,7.29618835963582,5–10,29.21710229320374,2.2876491714466307,29.108879027017938,-2.765147932236469
test:2021.05.25.14.16.10_veh-35_00083_00485:89377ae201c15dc5:192,test,2021.05.25.14.16.10_veh-35_00083_00485,us-nv-las-vegas-strip,89377ae201c15dc5,9ae62d2dd4eb5649,192,93e501c3d4c8580e,1621966810500599,6.821345928289093,5–10,28.00047938220971,3.950317629457788,27.751588383610006,-4.778627845584407
test:2021.05.25.14.16.10_veh-35_00083_00485:5ada1ae8b7bd52bb:195,test,2021.05.25.14.16.10_veh-35_00083_00485,us-nv-las-vegas-strip,5ada1ae8b7bd52bb,d4b674d131b359ee,195,ecacda637e3a5948,1621966811999779,7.390004583275583,5–10,26.205754664630305,3.463548030166793,26.016490491688447,-4.2081628788705085
test:2021.05.25.14.16.10_veh-35_00083_00485:6ecec73b573152ce:195,test,2021.05.25.14.16.10_veh-35_00083_00485,us-nv-las-vegas-strip,6ecec73b573152ce,82f79ac8040d5234,195,ecacda637e3a5948,1621966811999779,7.390004583275583,5–10,27.11924104310877,3.8601463741149766,26.908646627793622,-4.65066151039159
test:2021.05.25.14.16.10_veh-35_00083_00485:f4802f0f7b27529a:196,test,2021.05.25.14.16.10_veh-35_00083_00485,us-nv-las-vegas-strip,f4802f0f7b27529a,1d791d9dcffa5e77,196,7379018778965c83,1621966812499984,7.638201517793499,5–10,25.9134035002954,3.5551642645669954,25.746947626576755,-4.216925094788638
