route,scen,status,t0,dur,final,disp,collided,frac_thr,n_plans,stay,rev,go,nav,top_cot,ncol_in,ncol_start
11381,VehicleTurningRoutePedestrian,Failed - TickRuntime,22.9,22.7,False,0.04,vehicle:vehicle.ford.mustang;vehicle:vehicle.ford.mustang,0.45,45,0.42,0.33,0.24,1.0,Stop to keep distance to the lead vehicle since it is stationary ahead,1,1
11381,VehicleTurningRoutePedestrian,Failed - TickRuntime,74.7,78.4,False,1.36,vehicle:vehicle.chevrolet.impala;vehicle:vehicle.chevrolet.impala,0.5,156,0.25,0.54,0.21,0.0,Stop to keep distance to the stopped lead vehicle ahead,1,1
11381,VehicleTurningRoutePedestrian,Failed - TickRuntime,157.7,42.4,True,1.21,vehicle:vehicle.chevrolet.impala;vehicle:vehicle.mini.cooper_s_2021;vehicle:vehicle.chevrolet.impala;vehicle:vehicle.mini.cooper_s_2021,0.49,84,0.42,0.33,0.25,0.0,Stop to yield to the cut-in vehicle from the right since it is blocking our lane,1,1
14842,VanillaSignalizedTurnEncounterGreenLight,Failed - Agent got blo,7.7,72.4,False,1.12,layout:traffic.traffic_light,0.41,144,0.38,0.51,0.11,1.0,Keep distance to the lead vehicle since it is stopped ahead in our lane,1,1
14842,VanillaSignalizedTurnEncounterGreenLight,Failed - Agent got blo,93.7,60.0,True,0.9,layout:traffic.traffic_light,0.5,120,0.34,0.48,0.17,1.0,Adapt speed for the right curve since the lane bends right ahead,0,0
17635,SequentialLaneChange,Completed,24.8,30.6,False,0.69,layout:static.guardrail,0.56,60,0.32,0.48,0.2,0.0,Keep distance to the lead vehicle since it is directly ahead in our lane,1,1
17635,SequentialLaneChange,Completed,69.0,28.9,False,1.08,layout:static.guardrail,0.55,57,0.28,0.44,0.28,0.0,Keep lane since the lane is clear ahead,2,2
1773,ParkedObstacle,Completed,14.0,37.3,False,1.64,vehicle:vehicle.lincoln.mkz_2017,0.49,75,0.31,0.44,0.24,0.0,Keep distance to the lead vehicle since it is stopped ahead,1,1
1773,ParkedObstacle,Completed,60.0,88.6,False,0.66,vehicle:vehicle.chevrolet.impala;vehicle:vehicle.mini.cooper_s_2021,0.51,177,0.32,0.47,0.2,0.0,Keep distance to the lead vehicle since it is stopped ahead,2,2
1825,ConstructionObstacleTwoWays,Failed - TickRuntime,21.0,179.0,True,0.17,layout:static.prop.trafficwarning,0.43,358,0.42,0.35,0.23,0.0,Stop for the construction barricade blocking the lane ahead,1,1
1833,ConstructionObstacleTwoWays,Failed - TickRuntime,24.5,175.6,True,0.13,layout:static.prop.trafficwarning,0.48,351,0.36,0.41,0.23,0.0,Stop for the construction barricade blocking the lane ahead,1,1
1852,AccidentTwoWays,Failed - TickRuntime,24.7,175.4,True,1.3,vehicle:vehicle.dodge.charger_police_2020,0.49,350,0.39,0.37,0.24,0.0,Keep distance to the lead vehicle since it is stopped ahead,1,1
1956,ParkingExit,Failed - TickRuntime,3.6,196.5,True,0.14,vehicle:vehicle.mercedes.coupe_2020,0.45,392,0.36,0.4,0.24,0.0,Keep distance to the lead vehicle since it is stopped ahead,1,1
2091,NonSignalizedJunctionLeftTurn,Failed - TickRuntime,18.2,181.9,True,1.18,layout:static.fence,0.49,363,0.31,0.48,0.21,1.0,Stop because a wooden fence blocks the path ahead,1,1
2115,NonSignalizedJunctionRightTurn,Failed - TickRuntime,25.5,174.6,True,0.19,vehicle:vehicle.mercedes.coupe_2020,0.55,349,0.28,0.59,0.13,0.0,Nudge to the left to clear the stopped vehicle blocking the lane ahead,1,1
2127,OppositeVehicleTakingPriority,Failed - Agent got blo,29.4,117.4,True,2.45,layout:traffic.stop;vehicle:vehicle.carlamotors.firetruck,0.52,234,0.28,0.56,0.15,0.0,Adapt speed for the right curve since the lane bends right ahead,1,1
2143,OppositeVehicleTakingPriority,Failed - Agent got blo,47.2,60.0,True,0.83,vehicle:vehicle.dodge.charger_2020,0.46,120,0.29,0.53,0.18,0.0,Keep distance to the lead vehicle since it is stopped ahead blocking our lane,1,1
2144,VehicleTurningRoute,Failed - Agent got blo,32.2,60.0,True,0.06,layout:traffic.traffic_light;layout:static.pole,0.41,120,0.44,0.3,0.26,0.0,Keep distance to the cyclist since it is directly ahead in our lane,1,1
2164,VehicleTurningRoutePedestrian,Failed - TickRuntime,64.9,135.2,True,0.18,layout:static.vegetation;layout:static.vegetation,0.49,270,0.33,0.49,0.19,0.0,Nudge to the left to clear the tree blocking the center of our lane,1,1
2204,BlockedIntersection,Failed - Agent got blo,32.4,60.0,True,0.73,vehicle:vehicle.audi.tt,0.46,119,0.39,0.34,0.25,0.16806722689075632,Keep distance to the lead vehicle since it is stopped ahead,1,1
2215,BlockedIntersection,Failed - Agent got blo,20.2,100.2,True,0.13,layout:static.building,0.45,200,0.44,0.3,0.26,0.0,Keep distance to the lead vehicle since it is directly ahead in our path,1,1
2283,MergerIntoSlowTraffic,Failed - TickRuntime,9.4,190.6,True,1.82,layout:static.guardrail,0.52,381,0.34,0.55,0.1,0.0,Keep lane since the lane is clear ahead,1,1
2390,VanillaNonSignalizedTurn,Failed - Agent got blo,17.7,13.4,False,7.69,vehicle:vehicle.dodge.charger_2020;vehicle:vehicle.dodge.charger_2020,0.67,26,0.15,0.73,0.12,1.0,Keep distance to the lead vehicle since it is stopped ahead in our lane,2,1
2390,VanillaNonSignalizedTurn,Failed - Agent got blo,34.5,60.0,True,0.25,vehicle:vehicle.dodge.charger_2020,0.51,120,0.32,0.5,0.18,1.0,Yield to the cross-traffic since vehicles are moving across our path ahead,0,0
2397,VanillaNonSignalizedTurn,Failed - Agent got blo,23.3,64.8,True,0.16,vehicle:vehicle.mercedes.coupe_2020,0.51,129,0.36,0.43,0.21,1.0,Keep distance to the lead vehicle since it is stopped ahead blocking our lane,1,1
2509,ConstructionObstacle,Failed - TickRuntime,12.7,187.4,True,0.18,layout:static.prop.trafficwarning,0.42,369,0.36,0.41,0.22,0.0,Keep distance to the lead vehicle since it is directly ahead in our lane,1,1
2513,ConstructionObstacle,Failed - TickRuntime,15.3,184.8,True,0.18,layout:static.prop.trafficwarning,0.57,369,0.29,0.37,0.34,0.0,Keep distance to the lead vehicle since it is directly ahead in our lane,1,1
2534,Accident,Failed - TickRuntime,16.8,183.2,True,2.1,vehicle:vehicle.dodge.charger_police_2020,0.46,365,0.31,0.46,0.23,0.0,Keep distance to the lead vehicle since it is stopped ahead,1,1
2539,Accident,Failed - TickRuntime,22.3,177.8,True,2.7,vehicle:vehicle.dodge.charger_police_2020,0.49,355,0.31,0.46,0.23,0.0,Keep distance to the lead vehicle since it is stopped ahead,1,1
2554,ParkedObstacle,Failed - TickRuntime,22.0,178.0,True,1.41,vehicle:vehicle.mercedes.coupe_2020,0.51,356,0.39,0.34,0.27,0.0,Keep distance to the cut-in vehicle since it merges into our lane ahead,1,1
2606,ConstructionObstacleTwoWays,Failed - TickRuntime,16.9,183.2,True,0.83,layout:static.prop.trafficwarning,0.49,366,0.32,0.43,0.25,0.0,Keep distance to the lead vehicle since it is directly ahead in our lane,1,1
