route,kind,typ,t,dmin,v,vmax2s,plans,cot,low,lunge,revthr
11381,layout,traffic.traffic_light,54.95,0.0,1.67,2.21,"[[53.1, 2.07, 'go', 3.47, 1.03, 0.0, 1.0], [53.6, 0.0, 'stay', 0.2, 0.31, 0.0, 1.0], [54.1, 0.0, 'go', 2.05, 0.68, 0.75, 0.0], [54.6, 0.63, 'go', 5.61, 2.58, 0.75, 0.0]]",Accelerate to complete a left turn because of a gap in cross traffic,True,True,False
11381,vehicle,vehicle.ford.mustang,22.8,0.0,0.91,0.96,"[[21.1, 0.79, 'stay', 0.92, 0.25, 0.0, 1.0], [21.6, 0.0, 'stay', 0.12, 0.03, 0.0, 1.0], [22.1, 0.0, 'rev', -3.22, 1.08, 0.75, 0.0], [22.6, 0.71, 'go', 2.66, 0.82, 0.4468167228059666, 0.0]]",Stop to keep distance to the lead vehicle since it is stopped ahead,True,True,True
11381,vehicle,vehicle.chevrolet.impala,74.6,0.0,1.94,2.05,"[[73.1, 0.0, 'rev', -0.69, 0.26, 0.0, 1.0], [73.6, 0.0, 'go', 2.32, 0.75, 0.75, 0.0], [74.1, 0.65, 'go', 5.45, 1.94, 0.75, 0.0], [74.6, 1.94, 'go', 3.47, 1.17, 0.0, 1.0]]",Nudge to the left to clear the stopped lead vehicle blocking the lane,True,True,False
11381,vehicle,vehicle.mini.cooper_s_2021,157.6,0.0,5.22,5.27,"[[156.1, 0.72, 'go', 3.06, 1.19, 0.75, 0.0], [156.6, 2.09, 'go', 10.82, 3.64, 0.75, 0.0], [157.1, 4.07, 'go', 19.29, 6.81, 0.75, 0.0], [157.6, 5.22, 'go', 4.72, 0.98, 0.0, 1.0]]",Nudge to the left to create clearance from the stopped lead vehicle blocking the lane,False,False,False
14842,layout,traffic.traffic_light,6.8,0.0,9.46,9.57,"[[5.1, 4.74, 'go', 19.04, 6.64, 0.75, 0.0], [5.6, 5.15, 'go', 14.14, 6.67, 0.75, 0.0], [6.1, 7.98, 'go', 23.15, 8.28, 0.75, 0.0], [6.6, 9.19, 'go', 16.5, 8.93, 0.0, 0.0]]",Nudge right due to the stopped lead vehicle blocking the lane ahead,False,False,False
17569,layout,static.guardrail,14.7,0.0,13.52,13.66,"[[12.9, 7.08, 'go', 25.97, 9.24, 0.75, 0.0], [13.4, 8.87, 'go', 32.68, 11.65, 0.75, 0.0], [13.9, 11.14, 'go', 42.23, 15.29, 0.75, 0.0], [14.4, 12.65, 'go', 43.69, 15.38, 0.75, 0.0]]",Lane change to the left to pass the slow lead vehicle ahead,False,False,False
17569,vehicle,vehicle.nissan.patrol_2021,9.8,0.0,5.27,8.05,"[[8.3, 5.24, 'go', 21.68, 7.3, 0.75, 0.0], [8.8, 7.74, 'go', 21.98, 7.38, 0.0, 0.0], [9.3, 7.2, 'go', 22.19, 7.24, 0.28081368007401913, 0.0], [9.8, 5.27, 'go', 20.81, 7.47, 0.75, 0.0]]",Yield to the cut-in vehicle from the left since it merges into our lane ahead,False,False,False
17569,vehicle,vehicle.chevrolet.impala,15.45,0.0,10.33,13.66,"[[13.9, 11.14, 'go', 42.23, 15.29, 0.75, 0.0], [14.4, 12.65, 'go', 43.69, 15.38, 0.75, 0.0], [14.9, 9.59, 'go', 37.62, 13.34, 0.75, 0.0], [15.4, 10.24, 'go', 22.92, 8.04, 0.0, 1.0]]",Slow down to create a gap for merging right because a red SUV is alongside and a black sed,False,False,False
17569,vehicle,vehicle.dodge.charger_2020,18.0,0.0,3.59,3.95,"[[16.4, 0.0, 'go', 1.7, 0.65, 0.75, 0.0], [16.9, 0.73, 'go', 2.79, 0.95, 0.75, 0.0], [17.4, 1.86, 'go', 4.47, 2.97, 0.75, 0.0], [17.9, 3.65, 'go', 13.43, 5.02, 0.75, 0.0]]",Slow down to yield to the cut-in vehicle from the right since it merges into our lane ahea,False,True,False
17598,layout,static.guardrail,29.45,0.0,11.16,12.01,"[[27.7, 6.96, 'go', 30.37, 11.35, 0.75, 0.0], [28.2, 8.74, 'go', 27.57, 9.98, 0.75, 0.0], [28.7, 10.61, 'go', 43.36, 15.84, 0.75, 0.0], [29.2, 11.93, 'go', 29.93, 9.9, 0.0, 1.0]]",Lane change to the left to pass the slow lead vehicle ahead,False,False,False
17598,vehicle,vehicle.mercedes.coupe_2020,14.4,0.0,7.55,7.72,"[[12.7, 2.35, 'go', 16.66, 6.09, 0.75, 0.0], [13.2, 3.96, 'go', 24.46, 8.78, 0.75, 0.0], [13.7, 5.13, 'go', 17.09, 5.75, 0.75, 0.0], [14.2, 6.71, 'go', 22.25, 7.67, 0.75, 0.0]]",Keep distance to the cut-in vehicle since it merges into our lane ahead,False,False,False
17598,vehicle,vehicle.mercedes.coupe_2020,20.05,0.0,5.37,5.37,"[[18.2, 1.73, 'go', 7.56, 2.65, 0.75, 0.0], [18.7, 1.17, 'go', 3.88, 1.46, 0.75, 0.0], [19.2, 2.49, 'go', 15.02, 5.34, 0.75, 0.0], [19.7, 4.5, 'go', 21.77, 7.53, 0.75, 0.0]]",Change lanes to the left due to slow traffic in our right lane and a safe gap behind the r,False,False,False
