arm,ped_reactive,ped_flip,ped_lo,ped_hi,null_ff_oos,cutin_flip,cutin_delta_vs_prior,cutin_lo,cutin_hi,a_ped,b_cutin,c_null,pass
prior [cinque],309,0.006472,0,0.02222,0.04931,0.004219,0,0,0,False,True,True,False
Q9b pair grid s0 [cinque],309,0.06796,0.01479,0.1517,0.05187,0.2785,0.2743,0.1675,0.3848,False,True,True,False
Q9b pair grid s1 [cinque],309,0.05825,0.01208,0.1327,0.05319,0.2574,0.2532,0.1419,0.3701,False,True,True,False
Q9b pair grid s2 [cinque],309,0.06796,0.01532,0.1472,0.05183,0.2595,0.2553,0.1479,0.3655,False,True,True,False
Q9b hard grid [cinque],309,0.01942,0,0.06667,0.06943,0.01055,0.006329,-0.002625,0.0179,False,True,True,False
Q9b pair pooled-linear [cinque],309,0.006472,0,0.02222,0.05228,0.006329,0.00211,0,0.006913,False,True,True,False
prior [lebowski],309,0.003236,0,0.009677,0.05116,0.04008,0,0,0,False,True,True,False
Q9b pair grid s0 [lebowski],309,0.05502,0.0155,0.106,0.05228,0.2975,0.2574,0.1129,0.3959,False,True,True,False
Q9b pair grid s1 [lebowski],309,0.05502,0.01091,0.1172,0.05224,0.2996,0.2595,0.1124,0.4036,False,True,True,False
Q9b pair grid s2 [lebowski],309,0.06149,0.02112,0.1168,0.04915,0.2932,0.2532,0.1094,0.392,False,True,True,False
Q9b hard grid [lebowski],309,0.003236,0,0.01111,0.06135,0.01266,-0.02743,-0.08297,0.002304,False,True,True,False
Q9b pair pooled-linear [lebowski],309,0.003236,0,0.009677,0.05137,0.04641,0.006329,-0.003697,0.01831,False,True,True,False
