direction,kind,sequence,frame,s,v0,a0,yaw_rate_deg,past_speed_jump,past_dup_steps,future_speed_max,rater,pre_onset,straight_yaw,turn_yaw,cluster,artifact
0,ego,57e34daab2df82dfd78edad9dfc8d56d,144,32.929596,0.5527524,-0.2655847,0.5269769595038633,0.35547167,0,14.744283,False,False,False,False,Interections,False
0,ego,ef06b076c2f0910d2499e33961803074,166,25.402607,-0.19023615,-6.624983,3.0407488746770253,1.8533554,0,8.75459,False,False,False,False,Cyclist,True
0,ego,2b74d20f67e018078588074153758632,161,24.753895,23.278545,-3.8002243,-1.6742983024814933,0.9500561,0,26.421938,False,False,False,False,Multi-Lane Maneuvers,False
0,ego,cae661cd1bad4161170b8a193af7502d,152,23.538494,0.24673623,-4.2144437,1.4896974324220231,1.0536109,0,1.096177,False,False,False,False,Cyclist,False
0,ego,a089800aa672a22a6dcfd0404e82e92b,98,23.24725,1.4085113,-6.35378,-2.6503297975677604,1.588445,0,2.2764454,False,False,False,False,Cyclist,False
0,ego,fe64be81fe42f8a9a901da26ba0179c1,151,22.367023,-0.23633176,-5.9965987,-1.3137026407374088,1.4991497,0,0.88107586,False,False,False,False,Cyclist,False
0,ego,605a964cc30b61fedf8a41bdf130f505,156,21.600378,1.7650018,-7.6456337,0.22862352833759297,1.9114084,0,3.5191743,False,False,True,False,Cyclist,True
0,ego,57e34daab2df82dfd78edad9dfc8d56d,145,20.999985,-0.2695359,-2.9062872,0.8215039292660646,0.7265718,0,14.979432,False,False,False,False,Interections,False
0,ego,fe64be81fe42f8a9a901da26ba0179c1,150,20.911621,0.66651565,-4.497788,-1.6858669807449274,1.124447,0,0.8829508,False,False,False,False,Cyclist,False
0,ego,605a964cc30b61fedf8a41bdf130f505,155,20.614918,2.758254,-6.3715744,-0.27698307659419624,1.5928936,0,3.521434,False,False,True,False,Cyclist,False
0,ego,2b74d20f67e018078588074153758632,160,20.359152,23.859129,-2.8743591,-2.2156107645041985,0.7185898,0,26.43841,False,False,False,False,Multi-Lane Maneuvers,False
0,ego,57e34daab2df82dfd78edad9dfc8d56d,153,19.836576,0.023559358,0.00032495707,-279.37497627007014,0.74216425,0,16.773558,False,False,False,False,Interections,False
0,ego,57e34daab2df82dfd78edad9dfc8d56d,152,19.67789,0.011880396,0.0,-512.8045704614824,0.39844227,0,16.569891,False,False,False,False,Interections,False
0,ego,605a964cc30b61fedf8a41bdf130f505,157,19.669067,0.8813374,-8.184189,1.1657121209057786,2.0460472,0,3.5223358,False,False,False,False,Cyclist,True
0,ego,57e34daab2df82dfd78edad9dfc8d56d,143,19.503544,0.9882847,1.3125093,-1.7759511247766777,0.32812732,0,14.504956,False,False,False,False,Interections,False
0,ego,ef06b076c2f0910d2499e33961803074,165,19.131847,0.480075,-6.6139383,3.3427251342286057,1.8681622,0,8.647022,False,False,False,False,Cyclist,True
0,ego,a089800aa672a22a6dcfd0404e82e92b,97,19.06052,2.3756437,-4.6499224,-1.6639115831178446,1.1624806,0,2.2684393,False,False,False,False,Cyclist,False
0,ego,dfa20c65dcc57c6ccabc47a7cc96d13f,128,18.46429,16.864487,-0.22211456,-8.837971002484824,0.09274483,0,16.621506,False,False,False,True,Foreign Object Debris,False
0,ego,dfa20c65dcc57c6ccabc47a7cc96d13f,127,18.213146,16.887136,-0.2429657,-8.92482189504605,0.0900383,0,16.7897,False,False,False,True,Foreign Object Debris,False
0,ego,2b74d20f67e018078588074153758632,162,17.900501,22.69069,-4.564247,-1.025454912007166,1.1410618,0,26.449097,False,False,False,False,Multi-Lane Maneuvers,False
0,ego,dfa20c65dcc57c6ccabc47a7cc96d13f,126,17.639427,16.886868,-0.3534546,-8.982896261482999,0.08836365,0,16.872032,False,False,False,True,Foreign Object Debris,False
0,ego,c62ca0c1ed7cb3d79aae63deaeb86ca0,161,17.567953,0.7942018,-3.4300818,3.372952541942979,0.85752046,0,3.1582634,False,False,False,False,Cut_ins,False
