route_id,town,scenario,length_m,sun_altitude,turning
28035,Town01,T_Junction,112.89050754778287,15.0,True
24841,Town01,ControlLoss,132.0,90.0,False
24211,Town01,DynamicObjectCrossing,134.00000000000003,45.0,False
28048,Town02,T_Junction,77.88628980754099,45.0,True
24784,Town02,ControlLoss,104.00499687890017,15.0,False
24224,Town02,DynamicObjectCrossing,134.00249843945008,45.0,False
26990,Town03,NonSignalizedJunctionLeftTurn,79.46035765197536,45.0,True
26950,Town03,OppositeVehicleRunningRedLight,73.0094322725864,-90.0,True
26456,Town03,HardBreakRoute,132.36884153929324,15.0,False
27494,Town04,BlockedIntersection,81.89552282314854,45.0,True
28099,Town04,SignalizedJunctionLeftTurnEnterFlow,80.446180650173,-90.0,True
27529,Town04,PedestrianCrossing,66.47395139416513,-90.0,False
26956,Town05,SignalizedJunctionRightTurn,70.0703148857021,70.0,True
27506,Town05,EnterActorFlow,74.57510986045168,-90.0,True
24759,Town05,ParkingCutIn,136.775697380581,45.0,False
26408,Town06,MergerIntoSlowTrafficV2,138.98289064332283,45.0,False
25358,Town06,StaticCutIn,139.25200312653786,45.0,False
26394,Town06,MergerIntoSlowTrafficV2,136.98289064332283,15.0,False
25975,Town07,VanillaSignalizedTurnEncounterGreenLight,48.847425929308315,45.0,True
25968,Town07,VanillaSignalizedTurnEncounterGreenLight,50.79373369448009,90.0,True
25863,Town07,PedestrianCrossing,86.01131726145235,45.0,False
28154,Town10HD,T_Junction,154.88544576069722,15.0,True
24340,Town10HD,ControlLoss,102.26623942964233,15.0,False
24330,Town10HD,HardBreakRoute,102.26623942964233,-90.0,False
27532,Town11,BlockedIntersection,67.26291086159988,90.0,True
24252,Town11,DynamicObjectCrossing,134.5496730323225,0.0,False
27582,Town11,PedestrianCrossing,65.05752716668864,45.0,False
2164,Town12,VehicleTurningRoutePedestrian,69.8828238873111,90.0,True
2084,Town12,NonSignalizedJunctionLeftTurn,73.8235444565422,-90.0,True
2397,Town12,VanillaNonSignalizedTurn,60.46528115653528,-90.0,True
2204,Town12,BlockedIntersection,69.80940473058845,45.0,True
2082,Town12,OppositeVehicleRunningRedLight,78.37214329958032,-90.0,True
28241,Town12,SignalizedJunctionLeftTurnEnterFlow,73.22058709367653,90.0,True
4683,Town12,SignalizedJunctionLeftTurn,72.70947761065239,15.0,True
23659,Town12,HighwayExit,100.12780922830947,45.0,True
23910,Town12,InterurbanActorFlow,106.2545346281724,15.0,False
3072,Town12,HighwayCutIn,138.00255525761355,-90.0,False
2273,Town12,MergerIntoSlowTraffic,138.4062901363406,45.0,False
18305,Town12,ParkingCutIn,134.00249843945008,90.0,False
3865,Town13,VanillaSignalizedTurnEncounterRedLight,60.15055639714486,45.0,True
3712,Town13,VehicleTurningRoute,75.32031989326802,45.0,True
3666,Town13,NonSignalizedJunctionRightTurn,71.1881695443362,-90.0,True
3890,Town13,VanillaNonSignalizedTurn,59.13783132667821,45.0,True
24092,Town13,MergerIntoSlowTrafficV2,151.1323575796722,70.0,False
3540,Town13,HardBreakRoute,136.1625670821008,-90.0,False
27018,Town15,SignalizedJunctionRightTurn,74.37148373119065,15.0,True
28198,Town15,SignalizedJunctionLeftTurnEnterFlow,77.91606184456732,45.0,True
26405,Town15,StaticCutIn,135.57724355774144,90.0,False
