board,repo,category,original,verdict,reviewer,selection_seed,evidence,reason
bench2drive,https://github.com/George-Ling3/BLUE,manual_control_override,yes,yes,independent_review_final,20260924,"repos/bench2drive__blue/gate/evaluation/eval_blue_full.sh:23,237; repos/bench2drive__blue/team_code/agent_simlingo.py:58,861-879",公开评测选用 LingoAgent；PID 后若静止计数超过阈值，强制最小油门并取消刹车。
nuscenes,https://github.com/NVlabs/BEV-Planner,ego_state_fusion,yes,yes,independent_review_final,20260924,"repos/nuscenes__bev_planner/configs/bev_next/bev_planner_plus_plus.py:184-186,289; repos/nuscenes__bev_planner/mmdet3d/models/fbbev/planner_head/naive_planner.py:245,300-304",++ 配置在测试管线传入 ego 运动特征；视觉 BEV 规划头将其拼入 ego_query。
navsim_v2,https://github.com/valeoai/TOAD,manual_scorer_reweighting,yes,yes,independent_review_final,20260924,repos/navsim_v2__toad/README.md:150-179; repos/navsim_v2__toad/navsim/agents/drivoR/drivor_model.py:207-218; repos/navsim_v2__toad/navsim/planning/script/config/common/agent/drivoR.yaml:20-25,NAVSIM-v2 评测命令覆盖 NC/DAC/DDC/TTC/EP 权重，模型用这些系数给候选及 CEM 轨迹排序；偏离默认聚合。
navsim_v2,https://github.com/NVlabs/GTRS,manual_scorer_reweighting,yes,yes,independent_review_final,20260924,repos/navsim_v2__gtrs/docs/gtrs_inference.md:83-120; repos/navsim_v2__gtrs/navsim/agents/gtrs_aug/hydra_model.py:289-307; repos/navsim_v2__gtrs/docs/metrics.md:28-33,Navhard 的 GTRS-Aug 推理入口进入手写子项系数公式并 argmax；公式含 imitation 与非协议默认的 NC/DAC/DDC/TTC/EP 等权重。
navsim_v2,https://github.com/valeoai/TOAD,benchmark_split_adaptation,yes,yes,independent_review_final,20260924,papers/toad.pdf:p.5及Fig.4; repos/navsim_v2__toad/docs/splits.md:79-94,论文以 warmup-two-stage 作 CEM 消融/配置依据，并明确该划分与 navhard-two-stage 交集；论文同时记载榜单作者认可其作验证集。
navsim_v2,https://github.com/valeoai/TOAD,metric_proxy_test_search,yes,yes,independent_review_final,20260924,"repos/navsim_v2__toad/README.md:175-179; repos/navsim_v2__toad/navsim/agents/drivoR/drivor_model.py:226-245,340-392",公开评测开启 use_cem，循环采样新控制、预测榜单子分数、挑选精英并更新分布，最终输出新轨迹或基座回退。
carla_lb2,https://github.com/autonomousvision/carla_garage,manual_control_override,yes,yes,independent_review_final,20260924,"repos/carla_lb2__tfpp/team_code/sensor_agent.py:126-130,630-676",闭环 sensor agent 默认启用停车牌控制，且卡住后可强制蠕行油门或安全箱制动；这些覆盖 PID 输出。
nuscenes,https://github.com/E2E-AD/AD-MLP,benchmark_target_shaping,no,no,independent_review_final,20260924,repos/nuscenes__ad_mlp/pytorch/admlp/train.py:48-69; repos/nuscenes__ad_mlp/pytorch/admlp/planner.py:199-240,训练路径用真实未来轨迹与普通 L1 监督；未见针对榜单时距、终点或子指标改造的轨迹目标。
nuscenes,https://github.com/E2E-AD/AD-MLP,manual_scorer_reweighting,no,no,independent_review_final,20260924,"repos/nuscenes__ad_mlp/pytorch/admlp/planner.py:227-240,246-272",推理直接回归单条轨迹；代码未给已有候选的榜单子项手工加权排序。
wod_e2e,https://github.com/vita-epfl/RAP,manual_scorer_reweighting,no,no,independent_review_final,20260924,repos/wod_e2e__rap/README.md:198-215; repos/wod_e2e__rap/navsim/agents/rap_dino/rap_model.py:156-167,Waymo 提交路径按学习到的单一分数头 argmax；无手写 NC/DAC 等子项系数公式。
bench2drive,https://github.com/swc-17/SparseDriveV2,inference_failure_brake_fallback,no,no,independent_review_final,20260924,repos/bench2drive__sparsedrivev2_b2d/leaderboard/team_code/sparsedrive_b2d_agent.py:489-512,正式 agent 直接执行模型与 PID 并返回控制；没有捕获推理异常后发送全零制动轨迹的路径。
navsim_v1,https://github.com/vita-epfl/RAP,metric_reward_finetuning,no,no,independent_review_final,20260924,"repos/navsim_v1__rap/README.md:140-155; repos/navsim_v1__rap/navsim/agents/rap_dino/rap_agent.py:450-481,518-530",NAVSIM-v1 公开训练命令启用 pdm_scorer，计算分数用于监督评分头；未把榜单函数作为策略 RL 奖励。
hugsim,https://github.com/hyzhou404/UniAD_SIM,simulator_pose_access,no,no,independent_review_final,20260924,repos/hugsim__uniad/tools/e2e.sh:8-11; repos/hugsim__uniad/tools/closeloop/dataparser.py:21-70,客户端从主机传来的 info 读取 ego_pos 并组装模型输入；未调用 world/actor 读取实时真实位姿或变换。
