base_id,town,family,seed,plus,minus,t_trig,t_vis,t_div,t_last,reason,n_obs,t_div_null,n_null,null_window
10857,Town12,VehicleTurningRoutePedestrian,0,1085710,1085720,49.0,49.0,180,258,ok,28,259.0,28.0,
10857,Town12,VehicleTurningRoutePedestrian,1,1085711,1085721,49.0,49.0,184,255,ok,27,,,
10857,Town12,VehicleTurningRoutePedestrian,2,1085712,1085722,49.0,49.0,180,256,ok,27,,,
11381,Town12,VehicleTurningRoutePedestrian,0,1138110,1138120,37.0,37.0,438,437,ok,76,438.0,76.0,
11381,Town12,VehicleTurningRoutePedestrian,1,1138111,1138121,37.0,37.0,438,437,ok,76,,,
11381,Town12,VehicleTurningRoutePedestrian,2,1138112,1138122,37.0,37.0,438,437,ok,76,,,
14194,Town12,PedestrianCrossing,0,1419410,1419420,49.0,49.0,106,238,ok,14,240.0,14.0,
14194,Town12,PedestrianCrossing,1,1419411,1419421,49.0,49.0,106,238,ok,14,,,
14194,Town12,PedestrianCrossing,2,1419412,1419422,49.0,49.0,106,238,ok,14,,,
14842,Town12,Light,0,1484210,1484220,325.0,325.0,323,464,background_drift,0,587.0,30.0,fallback
14842,Town12,Light,1,1484211,1484221,325.0,325.0,323,464,background_drift,0,,,
14842,Town12,Light,2,1484212,1484222,325.0,325.0,323,464,background_drift,0,,,
14862,Town12,Light,0,1486210,1486220,321.0,321.0,323,450,ok,1,434.0,1.0,
14862,Town12,Light,1,1486211,1486221,321.0,321.0,323,451,ok,1,,,
14862,Town12,Light,2,1486212,1486222,321.0,321.0,323,450,ok,1,,,
14909,Town12,Light,0,1490910,1490920,625.0,625.0,628,752,ok,1,873.0,1.0,
14909,Town12,Light,1,1490911,1490921,625.0,625.0,628,751,ok,1,,,
14909,Town12,Light,2,1490912,1490922,625.0,625.0,628,752,ok,1,,,
1711,Town12,ParkingCutIn,0,171110,171120,65.0,5.0,166,393,ok,36,191.0,36.0,
1711,Town12,ParkingCutIn,1,171111,171121,65.0,5.0,166,393,ok,36,,,
1711,Town12,ParkingCutIn,2,171112,171122,65.0,5.0,166,393,ok,36,,,
17752,Town12,DynamicObjectCrossing,0,1775210,1775220,61.0,145.0,169,393,ok,6,408.0,6.0,
17752,Town12,DynamicObjectCrossing,1,1775211,1775221,61.0,145.0,169,393,ok,6,,,
17752,Town12,DynamicObjectCrossing,2,1775212,1775222,61.0,145.0,169,393,ok,6,,,
18252,Town12,ParkingCrossingPedestrian,0,1825210,1825220,61.0,61.0,155,395,ok,24,462.0,24.0,
18252,Town12,ParkingCrossingPedestrian,1,1825211,1825221,61.0,61.0,155,395,ok,24,,,
18252,Town12,ParkingCrossingPedestrian,2,1825212,1825222,61.0,61.0,155,395,ok,24,,,
18305,Town12,ParkingCutIn,0,1830510,1830520,65.0,5.0,166,393,ok,36,462.0,36.0,
18305,Town12,ParkingCutIn,1,1830511,1830521,65.0,5.0,166,393,ok,36,,,
18305,Town12,ParkingCutIn,2,1830512,1830522,65.0,5.0,166,393,ok,36,,,
18311,Town12,ParkingCutIn,0,1831110,1831120,65.0,5.0,163,394,ok,36,466.0,36.0,
18311,Town12,ParkingCutIn,1,1831111,1831121,65.0,5.0,163,394,ok,36,,,
18311,Town12,ParkingCutIn,2,1831112,1831122,65.0,5.0,163,394,ok,36,,,
18356,Town12,ParkingCutIn,0,1835610,1835620,69.0,5.0,170,390,ok,37,198.0,37.0,
18356,Town12,ParkingCutIn,1,1835611,1835621,69.0,5.0,170,390,ok,37,,,
18356,Town12,ParkingCutIn,2,1835612,1835622,69.0,5.0,168,390,ok,37,,,
2082,Town12,OppositeVehicleRunningRedLight,0,208210,208220,29.0,105.0,193,236,ok,8,193.0,8.0,
2082,Town12,OppositeVehicleRunningRedLight,1,208211,208221,29.0,105.0,193,236,ok,8,,,
2082,Town12,OppositeVehicleRunningRedLight,2,208212,208222,29.0,105.0,238,237,ok,9,,,
2164,Town12,VehicleTurningRoutePedestrian,0,216410,216420,41.0,41.0,243,337,ok,50,340.0,50.0,
2164,Town12,VehicleTurningRoutePedestrian,1,216411,216421,41.0,41.0,243,337,ok,50,,,
2164,Town12,VehicleTurningRoutePedestrian,2,216412,216422,41.0,41.0,235,329,ok,48,,,
2286,Town12,HighwayCutIn,0,228610,228620,53.0,69.0,244,282,ok,29,317.0,29.0,
2286,Town12,HighwayCutIn,1,228611,228621,53.0,69.0,248,285,ok,30,,,
2286,Town12,HighwayCutIn,2,228612,228622,53.0,73.0,259,296,ok,31,,,
2373,Town12,Light,0,237310,237320,49.0,49.0,49,203,expert_reacted_before_visible,0,318.0,30.0,fallback
2373,Town12,Light,1,237311,237321,49.0,49.0,49,199,expert_reacted_before_visible,0,,,
2373,Town12,Light,2,237312,237322,49.0,49.0,49,201,expert_reacted_before_visible,0,,,
24206,Town03,ParkingCrossingPedestrian,0,2420610,2420620,61.0,65.0,179,461,ok,29,462.0,29.0,
24206,Town03,ParkingCrossingPedestrian,1,2420611,2420621,61.0,65.0,179,461,ok,29,,,
24206,Town03,ParkingCrossingPedestrian,2,2420612,2420622,61.0,65.0,179,461,ok,29,,,
24211,Town01,DynamicObjectCrossing,0,2421110,2421120,65.0,93.0,186,394,ok,23,395.0,23.0,
24211,Town01,DynamicObjectCrossing,1,2421111,2421121,65.0,93.0,186,394,ok,23,,,
24211,Town01,DynamicObjectCrossing,2,2421112,2421122,65.0,93.0,186,394,ok,23,,,
24224,Town02,DynamicObjectCrossing,0,2422410,2422420,65.0,101.0,130,244,ok,7,245.0,7.0,
24224,Town02,DynamicObjectCrossing,1,2422411,2422421,65.0,101.0,130,244,ok,7,,,
24224,Town02,DynamicObjectCrossing,2,2422412,2422422,65.0,101.0,130,244,ok,7,,,
24252,Town11,DynamicObjectCrossing,0,2425210,2425220,65.0,125.0,196,394,ok,18,404.0,18.0,
24252,Town11,DynamicObjectCrossing,1,2425211,2425221,65.0,133.0,205,401,ok,18,,,
24252,Town11,DynamicObjectCrossing,2,2425212,2425222,65.0,133.0,204,403,ok,18,,,
24294,Town02,ParkingCrossingPedestrian,0,2429410,2429420,65.0,89.0,127,217,ok,8,218.0,8.0,
24294,Town02,ParkingCrossingPedestrian,1,2429411,2429421,65.0,89.0,127,217,ok,8,,,
24294,Town02,ParkingCrossingPedestrian,2,2429412,2429422,65.0,89.0,127,217,ok,8,,,
24330,Town10HD,HardBreakRoute,0,2433010,2433020,65.0,,466,465,never_visible,0,466.0,30.0,fallback
24330,Town10HD,HardBreakRoute,1,2433011,2433021,65.0,,466,465,never_visible,0,,,
24330,Town10HD,HardBreakRoute,2,2433012,2433022,65.0,,466,465,never_visible,0,,,
24333,Town15,DynamicObjectCrossing,0,2433310,2433320,49.0,137.0,160,385,ok,6,391.0,6.0,
24333,Town15,DynamicObjectCrossing,1,2433311,2433321,65.0,161.0,181,408,ok,5,,,
24333,Town15,DynamicObjectCrossing,2,2433312,2433322,49.0,137.0,160,385,ok,6,,,
