method,board,protocol/split,metric,score,source,is_author_reported,same_checkpoint
AD-MLP,bench2drive,base-set closed-loop 220 routes,Comfortness,22.63,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
AD-MLP,bench2drive,base-set closed-loop 220 routes,Driving Score,18.05,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
AD-MLP,bench2drive,base-set closed-loop 220 routes,Efficiency,48.45,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
AD-MLP,bench2drive,base-set closed-loop 220 routes,Success Rate (%),0.00,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
AutoVLA,bench2drive,base-set closed-loop 220 routes,Driving Score,78.84,"papers/autovla.pdf (Table 3, PDF p.9)",yes,"no; CARLA SFT model versus real-data variants, p.9"
AutoVLA,bench2drive,base-set closed-loop 220 routes,Success Rate (%),57.73,"papers/autovla.pdf (Table 3, PDF p.9)",yes,"no; CARLA SFT model versus real-data variants, p.9"
DriveAdapter*,bench2drive,base-set closed-loop 220 routes,Comfortness,16.01,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
DriveAdapter*,bench2drive,base-set closed-loop 220 routes,Driving Score,64.22,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
DriveAdapter*,bench2drive,base-set closed-loop 220 routes,Efficiency,70.22,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
DriveAdapter*,bench2drive,base-set closed-loop 220 routes,Success Rate (%),33.08,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
HiP-AD,bench2drive,base-set closed-loop 220 routes,Driving Score,86.8,"papers/tfv6.pdf (Table 5, PDF p.7)",no (comparison table),unknown; compared across protocols in one table
HiP-AD,bench2drive,base-set closed-loop 220 routes,Success Rate (%),69.1,"papers/tfv6.pdf (Table 5, PDF p.7)",no (comparison table),unknown; compared across protocols in one table
LEAD,bench2drive,base-set closed-loop 220 routes,Driving Score,96.8,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,not applicable; privileged LEAD expert; Bench2Drive score estimated from standard leaderboard (issue #90)
LEAD,bench2drive,base-set closed-loop 220 routes,Success Rate (%),96.6,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,not applicable; privileged LEAD expert; Bench2Drive score estimated from standard leaderboard (issue #90)
OmniSpace (Qwen2.5-VL 7B),bench2drive,base-set closed-loop 220 routes,Driving Score,79.65,"papers/omnispace.pdf (Table 2, PDF p.7)",yes,no; trained/evaluated for each benchmark separately (Section 4.1)
OmniSpace (Qwen2.5-VL 7B),bench2drive,base-set closed-loop 220 routes,Success Rate (%),60.15,"papers/omnispace.pdf (Table 2, PDF p.7)",yes,no; trained/evaluated for each benchmark separately (Section 4.1)
OmniSpace (Qwen3-VL 4B),bench2drive,base-set closed-loop 220 routes,Driving Score,81.4,"papers/omnispace.pdf (Table 2, PDF p.7)",yes,no; trained/evaluated for each benchmark separately (Section 4.1)
OmniSpace (Qwen3-VL 4B),bench2drive,base-set closed-loop 220 routes,Success Rate (%),65.52,"papers/omnispace.pdf (Table 2, PDF p.7)",yes,no; trained/evaluated for each benchmark separately (Section 4.1)
PDM-Lite,bench2drive,base-set closed-loop 220 routes,Driving Score,97.0,"papers/tfv6.pdf (Table 5, PDF p.7)",no (comparison table),"not applicable; rule-based privileged expert, no learned checkpoint"
PDM-Lite,bench2drive,base-set closed-loop 220 routes,Success Rate (%),92.3,"papers/tfv6.pdf (Table 5, PDF p.7)",no (comparison table),"not applicable; rule-based privileged expert, no learned checkpoint"
RAP-ResNet,bench2drive,base-set closed-loop 220 routes,Driving Score,66.42,"papers/rap.pdf (Table 4, PDF p.8)",yes,no; RAP Section 4 says different ResNet34 backbone and CARLA-specific training
RAP-ResNet,bench2drive,base-set closed-loop 220 routes,Success Rate (%),37.27,"papers/rap.pdf (Table 4, PDF p.8)",yes,no; RAP Section 4 says different ResNet34 backbone and CARLA-specific training
RoG-DAgger,bench2drive,base-set closed-loop 220 routes,Driving Score,90.34,"papers/rog_dagger.pdf (Table 1, PDF p.6)",yes,"unknown; two protocols in RoG-DAgger Table 1, checkpoint identity not explicit"
RoG-DAgger,bench2drive,base-set closed-loop 220 routes,Success Rate (%),73.51,"papers/rog_dagger.pdf (Table 1, PDF p.6)",yes,"unknown; two protocols in RoG-DAgger Table 1, checkpoint identity not explicit"
SimLingo,bench2drive,base-set closed-loop 220 routes,Driving Score,85.1,"papers/tfv6.pdf (Table 5, PDF p.7)",no (comparison table),unknown; compared across protocols in one table
SimLingo,bench2drive,base-set closed-loop 220 routes,Success Rate (%),67.2,"papers/tfv6.pdf (Table 5, PDF p.7)",no (comparison table),unknown; compared across protocols in one table
