repo,issue_url,issue_date,category,user_reported_numbers,paper_numbers,paper_url,author_replied,author_reply_summary,author_quote,author_reply_url,resolved,issue_state,case_summary,related_methods,paper_locator
AFARI-Research/WA-JEPA,https://github.com/AFARI-Research/WA-JEPA/issues/1,2026-09-02,evaluation_config;author_disclosure,作者给 A800 单卡 4 denoise steps 2.0011 FPS/EPDMS 91.74；1 step 4.1771 FPS/EPDMS 65.48,论文 HUGSIM HDS 0.4462，非同榜比较,https://arxiv.org/pdf/2608.20974,yes,作者公开固定 seed 42、flow seed 0 的推理步数与 NAVSIM EPDMS 对照，并称默认步数改为 4；此为同 repo 额外协议，不可等同 HUGSIM 分数。,…default denoising steps to 4** in our latest code. Please pull the new…,https://github.com/AFARI-Research/WA-JEPA/issues/1#issuecomment-5535083137,yes,closed,作者公开固定 seed 42、flow seed 0 的推理步数与 NAVSIM EPDMS 对照，并称默认步数改为 4；此为同 repo 额外协议，不可等同 HUGSIM 分数。,WA-JEPA[A],"WA-JEPA Table 2, PDF p.7; HUGSIM score is a separate board"
AFARI-Research/WA-JEPA,https://github.com/AFARI-Research/WA-JEPA/issues/2,2026-09-10,evaluation_config,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2608.20974,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,no,open,issue 标题询问第一阶段 checkpoint 是否发布，正文为空；截至抓取无回复。,WA-JEPA[A],N/A; issue URL is the source for user and author statements
autonomousvision/carla_garage,https://github.com/autonomousvision/carla_garage/issues/9,2023-07-24,evaluation_config;author_disclosure,Longest6 不确定性阈值 0.33 对 DS 约 +3–4,论文确数不适用,https://arxiv.org/pdf/2412.09602,yes,作者解释 LAV stop sign controller、Longest6 uncertainty threshold 和不同榜单需不同设置；两个结果使用不同输出表示训练的模型。,"…few (~3-4) DS difference, due to the dense traffic, hence I tuned …",https://github.com/autonomousvision/carla_garage/issues/9#issuecomment-1647727253,yes,closed,作者解释 LAV stop sign controller、Longest6 uncertainty threshold 和不同榜单需不同设置；两个结果使用不同输出表示训练的模型。,TF++[A],N/A; issue URL is the source for user and author statements
autonomousvision/carla_garage,https://github.com/autonomousvision/carla_garage/issues/11,2023-08-08,score_gap;evaluation_config,用户单次 Longest6 DS 57.58/62.68；加配置后三次 DS 68.730/68.266/69.826,论文 Table 6 DS 72、RC 95、IS 0.74,https://arxiv.org/pdf/2306.07957v1,yes,作者解释 Table 6 为 3 次评测×3 训练 seed 的九次均值，发现示例脚本缺 BENCHMARK；其发布权重复评 DS 74。,…The numbers in Table 6 is an average of 9 repetitions (3x evaluation a 3x different training se…,https://github.com/autonomousvision/carla_garage/issues/11#issuecomment-1669310072,yes,closed,作者解释 Table 6 为 3 次评测×3 训练 seed 的九次均值，发现示例脚本缺 BENCHMARK；其发布权重复评 DS 74。,TF++[A],"TF++ original Table 6, PDF p.8"
autonomousvision/carla_garage,https://github.com/autonomousvision/carla_garage/issues/19,2023-11-25,evaluation_config;author_disclosure,同一模型跨论文表 Table 12 90 DS、Table 17 53 DS、Table 13 69 DS,以上均为作者在回复中所引,https://arxiv.org/pdf/2412.09602,yes,作者确认不同表中哪些行同一权重，leaderboard 非 ensemble 提交总是 seed 0，ensemble 为三个 seed。,…The non-ensemble models submitted to the leaderboard is always seed 0. (Ensemble means all 3 seeds).,https://github.com/autonomousvision/carla_garage/issues/19#issuecomment-1826763507,yes,closed,作者确认不同表中哪些行同一权重，leaderboard 非 ensemble 提交总是 seed 0，ensemble 为三个 seed。,TF++[A],N/A; issue URL is the source for user and author statements
autonomousvision/carla_garage,https://github.com/autonomousvision/carla_garage/issues/20,2023-12-15,evaluation_config;author_disclosure,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2412.09602,yes,作者确认早期主分支代码不能直接运行 Leaderboard 2.0/CARLA 0.9.14，正式 LB2 提交做了移植，后发布 leaderboard_2 分支。,"…not compatible with the leaderboard 2.0/Carla 0.9.14 out-of-the-box, but its not …",https://github.com/autonomousvision/carla_garage/issues/20#issuecomment-1858550519,partial,closed,作者确认早期主分支代码不能直接运行 Leaderboard 2.0/CARLA 0.9.14，正式 LB2 提交做了移植，后发布 leaderboard_2 分支。,TF++[A],N/A; issue URL is the source for user and author statements
autonomousvision/carla_garage,https://github.com/autonomousvision/carla_garage/issues/46,2024-08-27,evaluation_config;author_disclosure,用户对 Longest6 Table 6/13 多行 DS 69/70 有疑问,论文 Table 6/13 数值见用户提问,https://arxiv.org/pdf/2306.07957v2,yes,作者解释 TF++ 用 path+target speed 且 DIRECT=1，TF++ WP 用 waypoint 且 DIRECT=0；表 6 只报 TF++。,"…Weighted Target Speed Classes (DIRECT=1), whereas **TF++ WP** uses wayp…",https://github.com/autonomousvision/carla_garage/issues/46#issuecomment-2312465565,yes,closed,作者解释 TF++ 用 path+target speed 且 DIRECT=1，TF++ WP 用 waypoint 且 DIRECT=0；表 6 只报 TF++。,TF++[A],"TF++ original v2 Table 6, PDF p.8; Table 13, PDF p.16"
autonomousvision/carla_garage,https://github.com/autonomousvision/carla_garage/issues/47,2024-09-25,score_gap;evaluation_config,用户单次 Longest6 DS 54.2、RC 81.986、IS 0.684,TF++ 原论文 Table 6 Longest6 DS 69 ± 0、RC 94 ± 2；与用户运行的 checkpoint/版本未核实对应,https://arxiv.org/pdf/2306.07957v2,yes,作者说碰撞和 blocked 偏高，单次评测有大方差，帖中没有确定单一根因。,You only ran 1 evaluation seed. We usually run 3 evaluation runs and average the results.,https://github.com/autonomousvision/carla_garage/issues/47#issuecomment-2377354886,partial,closed,作者说碰撞和 blocked 偏高，单次评测有大方差，帖中没有确定单一根因。,TF++[A],"TF++ original Table 6, PDF p.8"
autonomousvision/carla_garage,https://github.com/autonomousvision/carla_garage/issues/50,2024-11-17,evaluation_config,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2412.09602,yes,作者确认 TF++ 两阶段训练使用相同 LR/epoch；stage1 的 use_controller_input_prediction=0 和 use_wp_gru=0，stage2 加载 stage1 最后权重。,…both need to be 0 for the first stage. In the second stage you set the load_fil…,https://github.com/autonomousvision/carla_garage/issues/50#issuecomment-2483039827,yes,closed,作者确认 TF++ 两阶段训练使用相同 LR/epoch；stage1 的 use_controller_input_prediction=0 和 use_wp_gru=0，stage2 加载 stage1 最后权重。,TF++[A],N/A; issue URL is the source for user and author statements
autonomousvision/carla_garage,https://github.com/autonomousvision/carla_garage/issues/65,2025-04-15,evaluation_config;author_disclosure,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2412.09602,yes,作者说 Bench2Drive 表中 Efficiency/Comfortness 缺失因后续版本才增指标，原实验未运行相关代码。,…we didn't run the code. You can find the numbers for PDM [here](…,https://github.com/autonomousvision/carla_garage/issues/65#issuecomment-2806659937,yes,closed,作者说 Bench2Drive 表中 Efficiency/Comfortness 缺失因后续版本才增指标，原实验未运行相关代码。,TF++[A],N/A; issue URL is the source for user and author statements
