method,board,split,metric,component,baseline_config,variant_config,baseline_score,variant_score,delta,same_weights_or_retrained,seeds_or_runs,n_samples,source,notes,hack_finding_id
TFv6,aux:longest6_v2,paper protocol,DS,expert_data_state_alignment,TFv5 trained on PDM-Lite data,TFv5 trained on LEAD data,22.51,34.05,+11.54,retrained,3 training seeds,36 routes (paper PDF p.3),"tfv6.pdf, Table 1, PDF p.4",相同空间覆盖与数据规模；表中均值，误差条另见原表。,N/A
TFv6,bench2drive,paper protocol,DS,expert_data_state_alignment,TFv5 trained on PDM-Lite data,TFv5 trained on LEAD data,83.56,84.94,+1.38,retrained,3 training seeds,220 routes (paper PDF p.3),"tfv6.pdf, Table 1, PDF p.4",相同空间覆盖与数据规模；表中均值，误差条另见原表。,N/A
TFv6,aux:longest6_v2,paper protocol,DS,planning_decoder_gru,TFv5 with GRU,without GRU; explicit target token,34.05,40.7,+6.65,retrained,3 training seeds,36 routes (paper PDF p.3),"tfv6.pdf, Table 2, PDF p.5",除移除 GRU，还将目标点作为显式 token；不能单独归因于 GRU。,N/A
TFv6,bench2drive,paper protocol,DS,planning_decoder_gru,TFv5 with GRU,without GRU; explicit target token,84.94,87.26,+2.32,retrained,3 training seeds,220 routes (paper PDF p.3),"tfv6.pdf, Table 2, PDF p.5",除移除 GRU，还将目标点作为显式 token；不能单独归因于 GRU。,N/A
TFv6,aux:longest6_v2,paper protocol,DS,route_target_points,one target point,three target points; earlier target switching,40.7,42.13,+1.43,retrained,3 training seeds,36 routes (paper PDF p.3),"tfv6.pdf, Table 3, PDF p.5",目标点数量与切换阈值一起变动。,N/A
TFv6,bench2drive,paper protocol,DS,route_target_points,one target point,three target points; earlier target switching,87.26,89.29,+2.03,retrained,3 training seeds,220 routes (paper PDF p.3),"tfv6.pdf, Table 3, PDF p.5",目标点数量与切换阈值一起变动。,N/A
TFv6,bench2drive,paper protocol,DS,sensor_lidar,360 camera,360 camera + LiDAR,91.6,94.7,+3.1,retrained,3 independent training seeds,220 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
TFv6,bench2drive,paper protocol,SR,sensor_lidar,360 camera,360 camera + LiDAR,79.5,85.6,+6.1,retrained,3 independent training seeds,220 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
TFv6,aux:longest6_v2,paper protocol,DS,sensor_lidar,360 camera,360 camera + LiDAR,43,52,+9,retrained,3 independent training seeds,36 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
TFv6,aux:longest6_v2,paper protocol,RC,sensor_lidar,360 camera,360 camera + LiDAR,85,88,+3,retrained,3 independent training seeds,36 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
TFv6,bench2drive,paper protocol,DS,sensor_radar,360 camera,360 camera + radar,91.6,94.2,+2.6,retrained,3 independent training seeds,220 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
TFv6,bench2drive,paper protocol,SR,sensor_radar,360 camera,360 camera + radar,79.5,85.3,+5.8,retrained,3 independent training seeds,220 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
TFv6,aux:longest6_v2,paper protocol,DS,sensor_radar,360 camera,360 camera + radar,43,52,+9,retrained,3 independent training seeds,36 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
TFv6,aux:longest6_v2,paper protocol,RC,sensor_radar,360 camera,360 camera + radar,85,88,+3,retrained,3 independent training seeds,36 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
TFv6,bench2drive,paper protocol,DS,sensor_radar,360 camera + LiDAR,360 camera + LiDAR + radar,94.7,95.0,+0.3,retrained,3 independent training seeds,220 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
